# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster173     COVAR   16076      -1.1427   -0.0023867       3.5197      0.62728
Cluster174     COVAR   16076       -6.563    -0.011312       4.3735      0.93326
Cluster175     COVAR   16076     -0.25685  -0.00042354       4.6794      0.52189
Cluster176     COVAR   16076      -6.5247    -0.013361       3.5929       0.9653
Cluster177     COVAR   16076      -1.9131   -0.0026931       5.3965      0.63852
Cluster178     COVAR   16076        3.064     0.004959       4.4745      0.24675
Cluster179     COVAR   16076      -2.2936   -0.0036143       4.6469      0.68919
Cluster18      COVAR   16076      0.49366    0.0045153       0.8013      0.26893
Cluster180     COVAR   16076     -0.53765   -0.0012341       3.2403      0.56589
Cluster181     COVAR   16076      -2.3349    -0.004415       3.9162      0.72448
Cluster182     COVAR   16076      -4.6373    -0.010214       3.3455      0.91713
Cluster183     COVAR   16076      -5.7903     -0.01049       4.1109       0.9205
Cluster184     COVAR   16076      -8.4979    -0.021385        2.796      0.99881
Cluster185     COVAR   16076      -9.8838      -0.0173       4.1641      0.99118
Cluster186     COVAR   16076      -4.8934     -0.00989       3.6263      0.91139
Cluster187     COVAR   16076      -6.3595    -0.010156       4.6526      0.91415
Cluster188     COVAR   16076     -0.96087   -0.0015599       4.5345      0.58391
Cluster189     COVAR   16076      0.85022    0.0018481       3.3395      0.39952
Cluster19      COVAR   16076       1.0566    0.0073902       1.0154      0.14905
Cluster190     COVAR   16076      -1.6771   -0.0042588       2.8035      0.72516
Cluster191     COVAR   16076       1.5562    0.0031669       3.5512      0.33062
Cluster192     COVAR   16076      0.64552    0.0016216       2.8583      0.41066
Cluster193     COVAR   16076      -5.2278   -0.0095231       3.9235      0.90863
Cluster194     COVAR   16076       -5.972    -0.012806       3.3295      0.96355
Cluster195     COVAR   16076      -5.0984    -0.010236       3.3617      0.93531
Cluster196     COVAR   16076      -2.1371   -0.0038637       3.9621      0.70518
Cluster197     COVAR   16076      -6.2754    -0.011395       4.0551      0.93912
Cluster198     COVAR   16076      -4.2952   -0.0079697       3.9711      0.86028
Cluster199     COVAR   16076     -0.66252   -0.0017117       2.7639      0.59472
Cluster2       COVAR   16076      0.11997    0.0018798      0.45836      0.39676
Cluster20      COVAR   16076      0.78904    0.0050992        1.107      0.23799
Cluster200     COVAR   16076     -0.49115   -0.0010166       3.4965      0.55585
Cluster201     COVAR   16076      -1.5251   -0.0023555        4.872      0.62287
Cluster202     COVAR   16076     -0.19431  -0.00032291       4.5039      0.51721
Cluster203     COVAR   16076      -2.8178   -0.0046827       4.4948      0.73463
Cluster204     COVAR   16076      -3.0974    -0.006057       3.7822      0.79358
Cluster205     COVAR   16076      -2.0229   -0.0034653       4.4756      0.67435
Cluster206     COVAR   16076        1.557    0.0031417       3.6627      0.33538
Cluster207     COVAR   16076       2.7371    0.0048891       4.2415      0.25937
Cluster208     COVAR   16076        2.232    0.0039105       4.3108      0.30231
Cluster209     COVAR   16076       2.9419     0.007165       3.0285      0.16568
Cluster21      COVAR   16076      0.44205    0.0026714       1.1786      0.35381
Cluster210     COVAR   16076       1.9836    0.0040676       3.6325      0.29251
Cluster211     COVAR   16076       1.3102     0.003141       3.0353        0.333
Cluster212     COVAR   16076       3.7672    0.0069544       4.0488      0.17608
Cluster213     COVAR   16076       2.2231    0.0037415       4.4872      0.31016
Cluster214     COVAR   16076       2.2578    0.0036168       4.7268      0.31645
Cluster215     COVAR   16076      0.96729     0.002094       3.4237      0.38877
Cluster216     COVAR   16076       2.6891    0.0040021       5.1039      0.29915
Cluster217     COVAR   16076      -3.0935   -0.0037229       6.3774      0.68618
Cluster218     COVAR   16076       1.4047    0.0022009        4.716       0.3829
Cluster219     COVAR   16076       8.0417     0.010797        5.593     0.075257
Cluster22      COVAR   16076      0.69639    0.0038307       1.3055      0.29687
Cluster220     COVAR   16076       1.5198     0.002332       4.9445      0.37928
Cluster221     COVAR   16076       3.4993    0.0064813       4.1026      0.19685
Cluster222     COVAR   16076       2.9065     0.005304       4.1002      0.23921
Cluster223     COVAR   16076       4.7904     0.008554       4.0293      0.11725
Cluster224     COVAR   16076       7.0653     0.010048       5.2518     0.089272
Cluster225     COVAR   16076       5.8367     0.009173       4.7286      0.10855
Cluster226     COVAR   16076       7.9311     0.010995       5.4303     0.072083
Cluster227     COVAR   16076       3.8836    0.0057189       5.0678      0.22175
Cluster228     COVAR   16076      0.84683    0.0010816       5.9279       0.4432
Cluster229     COVAR   16076       3.1873    0.0044009       5.3384      0.27524
Cluster23      COVAR   16076     0.098952   0.00051823        1.394      0.47171
Cluster230     COVAR   16076       5.2736    0.0070321       5.7055      0.17767
Cluster231     COVAR   16076      0.28342   0.00037976       5.6093      0.47985
Cluster232     COVAR   16076       4.2854     0.005862       5.5137      0.21852
Cluster233     COVAR   16076       5.3639    0.0072005       5.7926      0.17723
Cluster234     COVAR   16076       9.1216     0.011373       6.0917     0.067159
Cluster235     COVAR   16076      -0.5801   -0.0014295       2.8317      0.58116
Cluster236     COVAR   16076        3.286    0.0049332        5.052      0.25771
Cluster237     COVAR   16076      -1.8321   -0.0023226       5.9804      0.62033
Cluster238     COVAR   16076       0.6365    0.0009071       5.2755      0.45198
Cluster239     COVAR   16076      -1.2184   -0.0016286        5.667      0.58512
Cluster24      COVAR   16076     -0.20873   -0.0012889       1.1809      0.57015
Cluster240     COVAR   16076       4.2959    0.0057175       5.6138      0.22207
Cluster241     COVAR   16076     0.050728   7.5246e-05       5.1406      0.49606
Cluster242     COVAR   16076      -4.3578   -0.0056171       5.9101      0.76954
Cluster243     COVAR   16076      -7.9525     -0.01136       5.3836      0.93017
Cluster244     COVAR   16076      -4.9211   -0.0073657       4.9539      0.83973
