# MEAN_SAMPLE_SIZE = 51090
# TOTAL_GENES = 16327
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster166     COVAR   16327      -3.8223   -0.0071688       4.1591      0.82095
Cluster167     COVAR   16327       7.1975     0.011713       4.6972     0.062738
Cluster168     COVAR   16327       2.8232    0.0053076       4.1631      0.24885
Cluster169     COVAR   16327      0.15461   0.00023961       5.1077      0.48793
Cluster17      COVAR   16327      -1.0296   -0.0093592      0.85969      0.88445
Cluster170     COVAR   16327       2.6498     0.004047       5.1511      0.30349
Cluster171     COVAR   16327      -2.6699   -0.0056721       3.6817      0.76582
Cluster172     COVAR   16327       1.4413    0.0023978       4.7752      0.38139
Cluster173     COVAR   16327      -1.1275   -0.0023449       3.6153      0.62243
Cluster174     COVAR   16327        -4.57    -0.007805        4.496      0.84529
Cluster175     COVAR   16327      -4.1461   -0.0067834       4.8902      0.80173
Cluster176     COVAR   16327      -2.0105    -0.004104       3.7658      0.70329
Cluster177     COVAR   16327       4.6136    0.0064606        5.571       0.2038
Cluster178     COVAR   16327       8.0885     0.012998       4.8056     0.046184
Cluster179     COVAR   16327       4.7871    0.0075177       5.0986       0.1739
Cluster18      COVAR   16327       -1.007    -0.008775      0.89127      0.87073
Cluster180     COVAR   16327       0.9865    0.0022508       3.5313      0.38999
Cluster181     COVAR   16327      0.83985    0.0015695       4.2588      0.42184
Cluster182     COVAR   16327      0.93111    0.0020146       3.7973      0.40315
Cluster183     COVAR   16327      -2.3924   -0.0043027       4.2079      0.71517
Cluster184     COVAR   16327      -4.1738    -0.010445       2.7949      0.93231
Cluster185     COVAR   16327       4.4065    0.0077379       4.4606      0.16162
Cluster186     COVAR   16327      -4.4144   -0.0087423       4.0346      0.86304
Cluster187     COVAR   16327      -3.8979   -0.0061865       4.9348      0.78519
Cluster188     COVAR   16327       5.5165    0.0088034       4.7308      0.12181
Cluster189     COVAR   16327      -1.8663   -0.0040431       3.5194      0.70203
Cluster19      COVAR   16327      -1.1229    -0.007887       1.0676      0.85354
Cluster190     COVAR   16327      -4.5841   -0.0095913       3.7383      0.88993
Cluster191     COVAR   16327      0.96603    0.0019572        3.818      0.40013
Cluster192     COVAR   16327     -0.46628   -0.0011244       3.2725      0.55665
Cluster193     COVAR   16327       1.1729    0.0021295       4.2098      0.39027
Cluster194     COVAR   16327      0.72711    0.0015697       3.4612      0.41681
Cluster195     COVAR   16327       3.1284    0.0062553       3.7857       0.2043
Cluster196     COVAR   16327       1.2966    0.0023434       4.2606      0.38045
Cluster197     COVAR   16327      -1.8588     -0.00337       4.3259      0.66628
Cluster198     COVAR   16327       1.7893    0.0034005       4.0192       0.3281
Cluster199     COVAR   16327       0.7739    0.0019789       3.0252      0.39905
Cluster2       COVAR   16327      -1.2505    -0.019399      0.47437       0.9958
Cluster20      COVAR   16327      0.25058    0.0016231       1.1822      0.41607
Cluster200     COVAR   16327       4.8219    0.0098835       3.5719     0.088527
Cluster201     COVAR   16327       8.3704     0.012814       5.1743     0.052877
Cluster202     COVAR   16327       6.7869     0.011255       4.6993     0.074349
Cluster203     COVAR   16327       8.2604     0.013644       4.7674     0.041588
Cluster204     COVAR   16327       2.9684    0.0057741       3.9612      0.22682
Cluster205     COVAR   16327       2.2205    0.0037917       4.6568      0.31675
Cluster206     COVAR   16327       1.6825      0.00339       3.8621      0.33155
Cluster207     COVAR   16327       1.2776    0.0022751       4.5281      0.38892
Cluster208     COVAR   16327      -1.0321   -0.0018008       4.5857      0.58904
Cluster209     COVAR   16327      -2.0671   -0.0050091       3.0263      0.75271
Cluster21      COVAR   16327      0.52554    0.0032206       1.1869      0.32896
Cluster210     COVAR   16327      -1.4541   -0.0029713       3.8138       0.6485
Cluster211     COVAR   16327       -1.016   -0.0024261       3.2191      0.62385
Cluster212     COVAR   16327       2.6876    0.0049367       4.3451      0.26811
Cluster213     COVAR   16327      -4.9089   -0.0082134        4.731      0.85026
Cluster214     COVAR   16327      -2.7528   -0.0043894       4.9022      0.71279
Cluster215     COVAR   16327      -6.0361    -0.012986        3.544      0.95572
Cluster216     COVAR   16327       1.1736    0.0017334       5.3781      0.41363
Cluster217     COVAR   16327       16.771     0.020102        6.672    0.0059802
Cluster218     COVAR   16327       4.5627    0.0071805       5.0906      0.18505
Cluster219     COVAR   16327       5.8364    0.0098347       4.5248     0.098561
Cluster22      COVAR   16327       1.1886    0.0066334        1.322      0.18431
Cluster220     COVAR   16327       6.7958     0.010401       5.1643     0.094111
Cluster221     COVAR   16327       2.5886    0.0047776       4.1575      0.26677
Cluster222     COVAR   16327       2.1606    0.0039327       4.3103       0.3081
Cluster223     COVAR   16327      0.18436   0.00032529       4.4325      0.48341
Cluster224     COVAR   16327       7.1819     0.010169       5.6305      0.10107
Cluster225     COVAR   16327       3.4899    0.0054524       5.0937      0.24663
Cluster226     COVAR   16327       2.8225    0.0038964       5.6829      0.30971
Cluster227     COVAR   16327       13.194     0.019319       5.3561    0.0068888
Cluster228     COVAR   16327       14.423     0.018321        6.263     0.010648
Cluster229     COVAR   16327       14.522      0.02016       5.6552    0.0051202
Cluster23      COVAR   16327       1.9062     0.010059       1.4269     0.090799
Cluster230     COVAR   16327       11.717     0.017563       5.0504      0.01018
Cluster231     COVAR   16327       9.8135     0.013075       5.8509     0.046757
Cluster232     COVAR   16327       5.3561    0.0072833        5.738      0.17531
Cluster233     COVAR   16327       11.675     0.015544        5.899     0.023911
Cluster234     COVAR   16327       13.031      0.01612       6.3899     0.020721
Cluster235     COVAR   16327       1.9289     0.004705       2.8524      0.24945
