VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster207,207,MSN_207,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 92.9%, Thalamus: 4.1%, Amygdala: 1.9%","Human Pu: 54.1%, Human CaB: 28.2%, Human GPe: 5.8%","GPR6, AL139379.1, DRD2, AC073325.1, ADORA2A, LINC02137, PENK, GPR88, AL450332.1, LPL",20569.0,16076,2.7371,0.0048891,4.2415,0.25937
Cluster18,18,VendA_18,Vascular,ENDO,,"Cerebral cortex: 23.3%, Medulla: 16.4%, Thalamus: 14.6%","Human A35r: 10.4%, Human IO: 7.3%, Human MN: 6.9%","MECOM, CLDN5, MGP, FLT1, HLA-E, TM4SF1, SMAD6, EPAS1, KLF2, CXCL2",451.0,16076,0.49366,0.0045153,0.8013,0.26893
Cluster229,229,EMSN_229,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 56.1%, Basal forebrain: 28.8%, Cerebral cortex: 11.2%","Human CEN: 21.7%, Human CMN: 17.8%, Human Cla: 12.9%","NPFFR2, AC087516.2, CACNG5, EYA2, PDYN, ISM2, ZNF736P9Y, LINC00354, FOXP2, GPR88",1857.0,16076,3.1873,0.0044009,5.3384,0.27524
Cluster436,436,Midi_436,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 82.2%, Midbrain: 17.5%, Hypothalamus: 0.1%","Human LG: 28.3%, Human Pul: 26.3%, Human SC: 7.5%","HMCN1, LINC01210, OTX2, SOX14, DMBX1, AC246817.2, OTX2-AS1, AC245123.1, AL133493.1, AC007159.1",13890.0,16076,2.548,0.0043033,4.3011,0.27679
Cluster380,380,Splat_380,Splatter,NEUR,GLY,"Pons: 62.5%, Medulla: 34.7%, Spinal cord: 1.1%","Human PnEN: 23.4%, Human MoRF-MoEN: 17.0%, Human PB: 15.8%","SLC6A5, PAX2, EBF3, OTP, TFAP2A, HOXB3, LINC01297, LBX1-AS1, LHX5-AS1, EBF2",4748.0,16076,2.5283,0.004355,4.305,0.27851
Cluster46,46,Oligo_46,Oligodendrocyte,OLIGO,,"Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%","Human SN-RN: 9.7%, Human SN: 6.7%, Human CbDN: 5.9%","CNDP1, LINC01608, OPALIN, RNASE1, LINC01792, NKX6-2, MAG, PPP1R14A, CD9, TMEM98",60616.0,16076,1.2285,0.0041483,2.0999,0.27928
Cluster41,41,COP_41,Committed oligodendrocyte precursor,OLIGO,,"Amygdala: 24.7%, Hypothalamus: 23.3%, Basal forebrain: 20.2%","Human HTHso: 18.1%, Human La: 17.3%, Human GPe: 16.1%","OPALIN, LINC01608, CD22, CDH1, FA2H, LINC01099, LINC01792, MYRF, LINC00639, AC110285.1",1310.0,16076,1.6777,0.0041745,2.8693,0.27938
Cluster385,385,Splat_385,Splatter,NEUR,VGLUT2,"Hypothalamus: 93.4%, Midbrain: 4.5%, Amygdala: 0.8%","Human HTHma-HTHtub: 46.9%, Human HTHtub: 19.6%, Human HTHma: 9.9%","LMX1A, LMX1B, LINC01667, CARTPT, IRX3, CRNDE, AR, TMEM255A, GABRE, IRX6",1800.0,16076,3.1683,0.0043303,5.5227,0.28309
Cluster210,210,MSN_210,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 97.9%, Thalamus: 1.9%, Hippocampus: 0.2%","Human Pu: 80.1%, Human CaB: 12.7%, Human GPe: 4.5%","LINC02137, AL445584.2, AL450332.1, DDIT4L, PTPN7, LPL, AC092979.1, MME, PLEK, SLC25A24P1",10299.0,16076,1.9836,0.0040676,3.6325,0.29251
Cluster458,458,Thex_458,Thalamic excitatory,NEUR,VGLUT2,"Thalamus: 93.6%, Midbrain: 6.4%, Amygdala: 0.0%","Human ETH: 22.6%, Human MD: 19.4%, Human ANC: 18.3%","SPTLC3, NTS, COL6A5, AC105213.1, AL033530.1, CCDC141, CYP27C1, LINC02775, LHX9, ADGRG6",7494.0,16076,1.9414,0.0040105,3.6013,0.29491
Cluster22,22,Per_22,Vascular,PER,,"Thalamus: 34.2%, Cerebral cortex: 15.9%, Basal forebrain: 10.2%","Human CBV: 6.7%, Human CM: 5.4%, Human LP: 5.3%","CARMN, NOTCH3, SLC6A12, ITIH5, GGT5, SLC12A7, IFITM2, LINC02147, CYSLTR2, BGN",1856.0,16076,0.69639,0.0038307,1.3055,0.29687
Cluster315,315,LRL_315,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,"Pons: 95.9%, Medulla: 1.9%, Cerebral cortex: 1.5%","Human PnEN: 47.2%, Human DTg: 31.1%, Human PN: 9.4%","ADAMTS20, LINC00616, AL139351.3, BARHL1, IRX2, ADGRD2, EGFLAM, AC093765.2, C6orf141, LINC02381",267.0,16076,2.0424,0.0038585,3.8658,0.29864
Cluster296,296,CGE_296,CGE interneuron,NEUR,GABA,"Cerebral cortex: 72.9%, Amygdala: 10.5%, Hippocampus: 9.0%","Human M1C: 8.1%, Human MEC: 6.2%, Human MTG: 4.7%","EREG, VIP, TAC3, IQGAP2, AREG, CXCL14, PTHLH, AC011990.1, SP8, NPR3",9524.0,16076,2.4677,0.0039319,4.6713,0.29866
Cluster216,216,MSN_216,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 40.9%, Amygdala: 26.3%, Hypothalamus: 18.3%","Human SI: 36.9%, Human BNST: 19.4%, Human HTHpo: 16.1%","DRD2, MYO3A, PENK, ADORA2A, LINC01833, GPR6, LINC02462, AL020994.2, P2RY1, SIX3",5720.0,16076,2.6891,0.0040021,5.1039,0.29915
Cluster356,356,Splat_356,Splatter,NEUR,GABA,"Midbrain: 67.5%, Pons: 20.1%, Thalamus: 9.5%","Human PTR: 30.3%, Human IC: 11.1%, Human SC: 8.1%","MECOM, COL8A1, GATA3, LHX5-AS1, AC005100.1, GATA3-AS1, LMO1, EBF3, GATA2, TFAP2A",6063.0,16076,2.9621,0.0038769,5.6924,0.30141
Cluster208,208,MSN_208,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 89.6%, Amygdala: 5.6%, Cerebral cortex: 3.5%","Human CaB: 31.1%, Human NAC: 28.8%, Human GPe: 12.5%","PENK, GPR6, ADORA2A, DRD2, LINC02137, AC004551.1, SMOC2, AC107208.1, LPL, EYA1",13170.0,16076,2.232,0.0039105,4.3108,0.30231
Cluster300,300,CBI_300,Cerebellar inhibitory,NEUR,GABA,"Cerebellum: 61.4%, Pons: 32.9%, Midbrain: 3.2%","Human CbDN: 58.9%, Human PnEN: 12.4%, Human PnRF: 8.1%","PAX2, SLC4A11, TFAP2B, NDNF, TFAP2A, IL15, SRD5A2, BHLHE22, ANGPT1, SLC22A3",1194.0,16076,1.5666,0.003664,3.1093,0.30719
Cluster213,213,MSN_213,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 75.5%, Cerebral cortex: 12.2%, Amygdala: 9.4%","Human SI: 30.9%, Human NAC: 26.6%, Human GPe: 14.4%","PENK, AC008786.1, GPR6, DRD3, DRD2, P2RY1, SCIN, AC092604.1, ENTHD1, AL020994.2",13450.0,16076,2.2231,0.0037415,4.4872,0.31016
Cluster299,299,CBI_299,Cerebellar inhibitory,NEUR,GLY,"Cerebellum: 71.1%, Pons: 20.4%, Midbrain: 4.5%","Human CbDN: 64.6%, Human PnEN: 7.1%, Human PB: 6.6%","SLC6A5, PAX2, TFAP2B, IGF2BP2, TFAP2A, GBA3, INHBA, LIPG, ANGPT1, BHLHE22",560.0,16076,1.8744,0.0036925,3.7988,0.31086
Cluster214,214,MSN_214,Medium spiny neuron,NEUR,GABA,"Basal forebrain: 61.9%, Amygdala: 15.7%, Cerebral cortex: 13.3%","Human SI: 37.9%, Human NAC: 15.7%, Human BNST: 14.8%","DRD3, AC010478.1, PDYN, AL020994.2, GPR101, AL359220.1, AC092604.1, MYO3A, DRD1, C6orf141",14016.0,16076,2.2578,0.0036168,4.7268,0.31645
Cluster451,451,Thex_451,Thalamic excitatory,,VGLUT2,"Thalamus: 99.9%, Midbrain: 0.1%, Hypothalamus: 0.0%","Human MD: 29.1%, Human ETH: 20.1%, Human ANC: 18.7%","CASQ2, AC016766.1, LINC00868, RGS16, C2orf83, TGFBR2, CYP27C1, AC106874.1, AOX2P, SHOX2",9740.0,16076,1.7382,0.0035815,3.6777,0.31824
Cluster285,285,CGE_285,CGE interneuron,NEUR,GABA,"Cerebral cortex: 62.9%, Hippocampus: 22.3%, Amygdala: 9.5%","Human M1C: 7.7%, Human CA1C-CA3C: 5.2%, Human MEC: 4.2%","PTGFR, PENK, PCDH18, LINC01497, NR2E1, OSTM1-AS1, VIP, CXCL14, AC008798.3, HTR3A",4688.0,16076,2.3938,0.0034498,5.0889,0.31904
