# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster138     COVAR    956   16333       20.533     0.034754       5.7076   0.00016126
Cluster269     COVAR    956   16333       41.554     0.054859       7.2723   5.6397e-09
Cluster138     COVAR    957   16333        20.26     0.034291       5.7078   0.00019367
Cluster270     COVAR    957   16333       38.822     0.058625       6.4108   7.1806e-10
Cluster138     COVAR    958   16333       21.018     0.035575       5.6997   0.00011364
Cluster271     COVAR    958   16333       38.025     0.054607       6.7288   8.1394e-09
Cluster138     COVAR    959   16333        22.13     0.037457       5.6915   5.0712e-05
Cluster272     COVAR    959   16333       25.367     0.045866       5.4465    1.617e-06
Cluster138     COVAR    960   16333        20.95      0.03546       5.6897    0.0001161
Cluster273     COVAR    960   16333           49      0.06551       7.2539    7.443e-12
Cluster138     COVAR    961   16333       20.964     0.035483       5.7069   0.00012016
Cluster274     COVAR    961   16333       34.306      0.05008       6.6298   1.1592e-07
Cluster138     COVAR    962   16333        21.43     0.036272       5.6926    8.379e-05
Cluster275     COVAR    962   16333       36.781     0.055259       6.4363   5.6177e-09
Cluster138     COVAR    963   16333       22.031     0.037289       5.6965   5.5252e-05
Cluster277     COVAR    963   16333       25.511     0.040226       5.8982   7.6743e-06
Cluster138     COVAR    964   16333       19.809     0.033528       5.7012    0.0002568
Cluster278     COVAR    964   16333       46.083     0.066941       6.4599   5.1445e-13
Cluster138     COVAR    965   16333       22.733     0.038477       5.6889   3.2397e-05
Cluster279     COVAR    965   16333       22.722     0.035425       6.0289   8.2358e-05
Cluster138     COVAR    966   16333       19.867     0.033626       5.6986   0.00024577
Cluster280     COVAR    966   16333        49.09     0.068548       6.7359   1.6663e-13
Cluster138     COVAR    967   16333       22.885     0.038735        5.686   2.8674e-05
Cluster281     COVAR    967   16333       20.216     0.037445       5.2661   6.2071e-05
Cluster138     COVAR    968   16333       22.085      0.03738       5.6926   5.2589e-05
Cluster282     COVAR    968   16333       22.301     0.043263       4.8374   2.0301e-06
Cluster138     COVAR    969   16333       19.991     0.033836       5.7098   0.00023241
Cluster283     COVAR    969   16333       43.674     0.059619       6.9788   2.0092e-10
Cluster138     COVAR    970   16333       21.368     0.036168       5.6975   8.8613e-05
Cluster284     COVAR    970   16333       34.081     0.049608       6.4018   5.1666e-08
Cluster138     COVAR    971   16333       22.536     0.038144       5.6938   3.7995e-05
Cluster285     COVAR    971   16333       24.096     0.034734       6.6091   0.00013374
Cluster138     COVAR    972   16333       19.758     0.033441       5.7135   0.00027287
Cluster286     COVAR    972   16333       42.867     0.061129       6.7959   1.4608e-10
Cluster138     COVAR    973   16333       21.616     0.036587       5.6908   7.3127e-05
Cluster287     COVAR    973   16333       32.497     0.053312       5.7865   9.9744e-09
Cluster138     COVAR    974   16333       19.231     0.032551       5.7081   0.00037812
Cluster288     COVAR    974   16333        51.03     0.071937       6.9989   1.6244e-13
Cluster138     COVAR    975   16333       22.176     0.037535       5.6892   4.8739e-05
Cluster289     COVAR    975   16333       26.062     0.045689       5.3722   6.2019e-07
Cluster138     COVAR    976   16333        21.37      0.03617       5.6973   8.8488e-05
Cluster290     COVAR    976   16333       32.328     0.051047       6.0569   4.7944e-08
Cluster138     COVAR    977   16333       21.612      0.03658       5.7038   7.5948e-05
Cluster291     COVAR    977   16333       29.027     0.041809       6.5412   4.5854e-06
Cluster138     COVAR    978   16333       21.253     0.035973        5.706   9.8163e-05
Cluster292     COVAR    978   16333       31.192     0.046112       6.4632   7.0414e-07
Cluster138     COVAR    979   16333       21.696     0.036722       5.6916   6.9268e-05
Cluster293     COVAR    979   16333       31.849     0.051292       5.9011   3.4448e-08
Cluster138     COVAR    980   16333       20.595     0.034859       5.7008   0.00015206
Cluster294     COVAR    980   16333       41.729     0.058302       6.7841   3.9594e-10
Cluster138     COVAR    981   16333       22.171     0.037526        5.688   4.8772e-05
Cluster295     COVAR    981   16333       27.334     0.047458       5.4523   2.7116e-07
Cluster138     COVAR    982   16333       21.307     0.036064       5.6891   9.0481e-05
Cluster296     COVAR    982   16333       38.108     0.059001       6.0498   1.5448e-10
Cluster138     COVAR    983   16333       23.128     0.039146        5.684   2.3743e-05
Cluster389     COVAR    983   16333       22.362     0.033317       6.1949   0.00015386
Cluster138     COVAR    984   16333       21.771     0.036849       5.6947   6.6232e-05
Cluster403     COVAR    984   16333       25.234     0.045828       5.1092   3.9764e-07
Cluster138     COVAR    985   16333       16.061     0.027184       5.9964     0.003703
Cluster404     COVAR    985   16333       32.656     0.037862       7.8426   1.5741e-05
Cluster138     COVAR    986   16333       18.534     0.031371       5.8299   0.00074014
Cluster405     COVAR    986   16333       33.211     0.040052       7.9174   1.3755e-05
Cluster138     COVAR    987   16333       21.923     0.037107       5.7096   6.1879e-05
Cluster407     COVAR    987   16333       26.032     0.033406       7.2061   0.00015224
Cluster138     COVAR    988   16333       21.596     0.036552       5.7002   7.6082e-05
Cluster423     COVAR    988   16333       39.091     0.043468       8.2523   1.0963e-06
Cluster138     COVAR    989   16333       21.665     0.036669       5.7014   7.2709e-05
Cluster424     COVAR    989   16333       36.405      0.04221       8.0276   2.9061e-06
Cluster138     COVAR    990   16333        20.34     0.034427       5.7387   0.00019743
Cluster426     COVAR    990   16333       37.844     0.041744       8.4969   4.2523e-06
Cluster138     COVAR    991   16333       22.601     0.038254        5.691    3.592e-05
Cluster427     COVAR    991   16333       27.217     0.035658        7.172   7.4164e-05
Cluster138     COVAR    992   16333        23.04     0.038996       5.6806    2.512e-05
Cluster428     COVAR    992   16333       33.254     0.042546       7.2771   2.4648e-06
Cluster138     COVAR    993   16333       23.234     0.039326       5.6825   2.1818e-05
Cluster433     COVAR    993   16333       16.247     0.032759       4.4675   0.00013859
Cluster138     COVAR    994   16333       22.652     0.038339        5.694   3.4911e-05
Cluster456     COVAR    994   16333       21.567     0.031941       6.3484   0.00034135
Cluster138     COVAR    995   16333       20.529     0.034747       5.8142   0.00020786
Cluster92      COVAR    995   16333       17.696     0.028146       6.1759    0.0020857
Cluster139     COVAR    996   16333      -2.6702    -0.004066       9.2724      0.61331
Cluster140     COVAR    996   16333       40.331     0.055647       10.293   4.4799e-05
Cluster139     COVAR    997   16333       5.0981    0.0077631       8.2531      0.26839
Cluster141     COVAR    997   16333       31.091     0.044693       8.8011   0.00020646
Cluster139     COVAR    998   16333       19.097      0.02908       6.4905    0.0016318
Cluster146     COVAR    998   16333       19.826     0.027138       7.3372    0.0034501
Cluster139     COVAR    999   16333       13.154     0.020031        7.391     0.037568
Cluster149     COVAR    999   16333       23.088     0.031162       8.3028    0.0027157
Cluster139     COVAR   1000   16333       20.994     0.031968       6.2498   0.00039207
Cluster156     COVAR   1000   16333       24.357     0.035157       6.4109   7.2872e-05
Cluster139     COVAR   1001   16333       19.776     0.030114       6.3632   0.00094408
Cluster167     COVAR   1001   16333       18.158     0.029538       5.8532   0.00096224
Cluster139     COVAR   1002   16333       14.299     0.021774       6.5841     0.014947
Cluster177     COVAR   1002   16333        31.65      0.04431        7.084   3.9844e-06
Cluster139     COVAR   1003   16333        19.82     0.030181       6.3842   0.00095483
Cluster178     COVAR   1003   16333       16.076     0.025834       5.5347    0.0018415
Cluster139     COVAR   1004   16333        20.92     0.031856       6.2895   0.00044141
Cluster179     COVAR   1004   16333       19.097     0.029893        6.228    0.0010861
Cluster139     COVAR   1005   16333       22.268     0.033909       6.2173   0.00017132
Cluster202     COVAR   1005   16333       18.893     0.031337       5.5432   0.00032777
Cluster139     COVAR   1006   16333       22.961     0.034964       6.1982   0.00010634
Cluster206     COVAR   1006   16333       16.898     0.034048        4.671    0.0001492
Cluster139     COVAR   1007   16333       19.575     0.029808       6.2458   0.00086382
Cluster217     COVAR   1007   16333       44.015     0.052716       8.1479   3.3528e-08
Cluster139     COVAR   1008   16333       21.544     0.032806       6.2148   0.00026441
Cluster220     COVAR   1008   16333       28.623     0.043834       6.2329   2.2123e-06
Cluster139     COVAR   1009   16333       21.684     0.033019       6.2296   0.00025079
Cluster223     COVAR   1009   16333       19.558      0.03459       5.3372   0.00012443
Cluster139     COVAR   1010   16333       20.694     0.031512       6.2416   0.00045861
Cluster224     COVAR   1010   16333       29.341     0.041529       6.6989   5.9798e-06
Cluster139     COVAR   1011   16333       20.926     0.031864        6.223   0.00038715
Cluster225     COVAR   1011   16333       29.936     0.046828       6.0857   4.4009e-07
Cluster139     COVAR   1012   16333       20.761     0.031614       6.2303    0.0004319
Cluster226     COVAR   1012   16333       32.906     0.045395       6.9137   9.8045e-07
Cluster139     COVAR   1013   16333       22.196     0.033799       6.2079   0.00017547
Cluster227     COVAR   1013   16333       25.916      0.03794       6.3255   2.1043e-05
Cluster139     COVAR   1014   16333       18.003     0.027414       6.2682    0.0020422
Cluster228     COVAR   1014   16333       46.222     0.058685       7.5817   5.5757e-10
Cluster139     COVAR   1015   16333        19.56     0.029786       6.2395   0.00086133
Cluster229     COVAR   1015   16333       37.951     0.052696       6.6875   7.0849e-09
Cluster139     COVAR   1016   16333       20.873     0.031784       6.2303   0.00040493
Cluster230     COVAR   1016   16333       28.385     0.042533       6.1345   1.8715e-06
Cluster139     COVAR   1017   16333       19.223     0.029272       6.2442    0.0010421
Cluster231     COVAR   1017   16333        41.38     0.055101       7.1068   2.9636e-09
Cluster139     COVAR   1018   16333       20.326     0.030952       6.2438   0.00056758
Cluster232     COVAR   1018   16333       32.893     0.044684       7.0003   1.3222e-06
Cluster139     COVAR   1019   16333       19.026     0.028972       6.2439    0.0011571
Cluster233     COVAR   1019   16333       43.705     0.058159       7.2469   8.3745e-10
Cluster139     COVAR   1020   16333       20.335     0.030964       6.2245   0.00054511
Cluster234     COVAR   1020   16333       42.812     0.053026       7.7098   1.4313e-08
Cluster139     COVAR   1021   16333        21.79     0.033181       6.2174    0.0002293
Cluster236     COVAR   1021   16333       25.727     0.038617       6.2902   2.1697e-05
Cluster139     COVAR   1022   16333       19.655     0.029929       6.2419   0.00082138
Cluster237     COVAR   1022   16333       40.686     0.051337       7.4286   2.2045e-08
Cluster139     COVAR   1023   16333        22.14     0.033713       6.2154   0.00018465
Cluster238     COVAR   1023   16333       24.759      0.03518       6.6949   0.00010904
Cluster139     COVAR   1024   16333       15.981     0.024335       6.2782    0.0054621
Cluster239     COVAR   1024   16333       54.017     0.072498       7.2585   5.2729e-14
Cluster139     COVAR   1025   16333       17.453     0.026577        6.264    0.0026696
Cluster240     COVAR   1025   16333       48.042     0.063635       7.1558   9.8801e-12
Cluster139     COVAR   1026   16333       18.777     0.028592       6.2265    0.0012849
Cluster241     COVAR   1026   16333       46.811        0.069       6.5544   4.8448e-13
Cluster139     COVAR   1027   16333       17.355     0.026427       6.2533    0.0027617
Cluster242     COVAR   1027   16333       53.694     0.068947       7.4576   3.1761e-13
Cluster139     COVAR   1028   16333       18.025     0.027448       6.2641    0.0020072
Cluster243     COVAR   1028   16333        43.32     0.061725       6.9731    2.689e-10
Cluster139     COVAR   1029   16333       21.819     0.033225       6.2326   0.00023269
Cluster244     COVAR   1029   16333       21.264     0.031756       6.2838   0.00035826
Cluster139     COVAR   1030   16333       22.254     0.033888       6.2088   0.00016958
Cluster245     COVAR   1030   16333       25.876      0.03702       6.5617   4.0347e-05
Cluster139     COVAR   1031   16333       19.751     0.030076       6.2738   0.00082325
Cluster248     COVAR   1031   16333       28.736     0.042462       6.5398   5.6088e-06
Cluster139     COVAR   1032   16333       18.892     0.028768        6.257    0.0012691
Cluster249     COVAR   1032   16333        41.19     0.054059       7.2723   7.5551e-09
Cluster139     COVAR   1033   16333       19.815     0.030174       6.2327   0.00074003
Cluster250     COVAR   1033   16333       34.938     0.059039       6.1132   5.5993e-09
Cluster139     COVAR   1034   16333       18.969     0.028885       6.2533    0.0012113
Cluster251     COVAR   1034   16333       36.605     0.057167       6.4005   5.4701e-09
Cluster139     COVAR   1035   16333       19.005      0.02894       6.2541    0.0011897
Cluster252     COVAR   1035   16333       38.055     0.056112       6.7259    7.815e-09
Cluster139     COVAR   1036   16333       20.854     0.031756       6.2272   0.00040682
Cluster253     COVAR   1036   16333        30.59     0.046391       6.3839    8.361e-07
Cluster139     COVAR   1037   16333       21.118     0.032158       6.2224   0.00034557
Cluster256     COVAR   1037   16333       28.882     0.043243       6.1314   1.2484e-06
Cluster139     COVAR   1038   16333       19.837     0.030207       6.2632   0.00077122
Cluster257     COVAR   1038   16333       32.602     0.043358       7.1112   2.2954e-06
Cluster139     COVAR   1039   16333        21.11     0.032145       6.2519   0.00036812
Cluster258     COVAR   1039   16333       23.566     0.034936       6.5109   0.00014817
Cluster139     COVAR   1040   16333       17.152     0.026118       6.2879    0.0031928
Cluster259     COVAR   1040   16333       46.351     0.061002       7.4375    2.371e-10
Cluster139     COVAR   1041   16333       18.371     0.027974        6.267    0.0016905
Cluster260     COVAR   1041   16333       40.361     0.056323       6.9449   3.1667e-09
Cluster139     COVAR   1042   16333       18.036     0.027465       6.2706    0.0020149
Cluster261     COVAR   1042   16333       41.392     0.058235       6.9063   1.0551e-09
Cluster139     COVAR   1043   16333       16.427     0.025015       6.2865    0.0044916
Cluster262     COVAR   1043   16333       50.157     0.066757       7.3334   4.1495e-12
Cluster139     COVAR   1044   16333       16.985     0.025863       6.2733    0.0033945
Cluster263     COVAR   1044   16333       46.524     0.066431       6.8468   5.6494e-12
Cluster139     COVAR   1045   16333       19.263     0.029332       6.2353    0.0010052
Cluster264     COVAR   1045   16333       40.215     0.058893       6.5116    3.388e-10
Cluster139     COVAR   1046   16333       20.606     0.031377       6.2367   0.00047794
Cluster265     COVAR   1046   16333       29.248     0.045146       6.2724   1.5736e-06
Cluster139     COVAR   1047   16333       20.865     0.031772       6.2228   0.00040087
Cluster266     COVAR   1047   16333       31.974     0.046703       6.3867   2.8091e-07
Cluster139     COVAR   1048   16333       20.859     0.031763       6.2322   0.00040962
Cluster267     COVAR   1048   16333       30.748      0.04428       6.7434   2.5849e-06
Cluster139     COVAR   1049   16333       20.861     0.031767       6.2333    0.0004099
Cluster268     COVAR   1049   16333       29.366     0.043518       6.5082   3.2367e-06
Cluster139     COVAR   1050   16333        19.53      0.02974       6.2407   0.00087742
Cluster269     COVAR   1050   16333       41.268     0.054482       7.2992   8.0108e-09
Cluster139     COVAR   1051   16333       19.121     0.029116       6.2425    0.0010979
Cluster270     COVAR   1051   16333       38.573     0.058249       6.4362   1.0556e-09
Cluster139     COVAR   1052   16333        19.74     0.030059        6.238   0.00077866
Cluster271     COVAR   1052   16333       37.526     0.053891       6.7602   1.4478e-08
Cluster139     COVAR   1053   16333       21.339     0.032495       6.2199   0.00030181
Cluster272     COVAR   1053   16333       24.924     0.045065       5.4639   2.5619e-06
Cluster139     COVAR   1054   16333       19.135     0.029139        6.229    0.0010653
Cluster273     COVAR   1054   16333        48.34     0.064627         7.29   1.7323e-11
Cluster139     COVAR   1055   16333       19.403     0.029546       6.2617   0.00097407
Cluster274     COVAR   1055   16333       33.619     0.049076       6.6775   2.4254e-07
Cluster139     COVAR   1056   16333       20.247     0.030831       6.2252   0.00057352
Cluster275     COVAR   1056   16333       36.278     0.054504       6.4611   1.0033e-08
Cluster139     COVAR   1057   16333       20.933     0.031875       6.2398   0.00039842
Cluster277     COVAR   1057   16333       24.788     0.039086       5.9307   1.4692e-05
Cluster139     COVAR   1058   16333       18.422     0.028053       6.2343    0.0015661
Cluster278     COVAR   1058   16333       45.857     0.066614       6.4844   8.0294e-13
Cluster139     COVAR   1059   16333       22.134     0.033705       6.2163    0.0001856
Cluster279     COVAR   1059   16333       22.121     0.034489       6.0473   0.00012757
Cluster139     COVAR   1060   16333       19.025      0.02897       6.2203    0.0011142
Cluster280     COVAR   1060   16333       49.032     0.068468       6.7493   1.9743e-13
Cluster139     COVAR   1061   16333       22.229     0.033849       6.2128   0.00017378
Cluster281     COVAR   1061   16333       19.626     0.036351       5.2819   0.00010175
Cluster139     COVAR   1062   16333       20.449     0.031138       6.2488   0.00053446
Cluster282     COVAR   1062   16333       21.456     0.041624       4.8743   5.4064e-06
Cluster139     COVAR   1063   16333       18.715     0.028499       6.2473    0.0013714
Cluster283     COVAR   1063   16333       43.403     0.059249       7.0093   3.0543e-10
Cluster139     COVAR   1064   16333       20.094     0.030598       6.2372   0.00063885
Cluster284     COVAR   1064   16333       33.502     0.048765       6.4333   9.7108e-08
Cluster139     COVAR   1065   16333       21.489     0.032723       6.2428   0.00028932
Cluster285     COVAR   1065   16333       22.987     0.033136       6.6519   0.00027522
Cluster139     COVAR   1066   16333       18.873     0.028739       6.2416    0.0012508
Cluster286     COVAR   1066   16333       42.798     0.061031        6.815   1.7475e-10
Cluster139     COVAR   1067   16333       20.797     0.031668       6.2153   0.00041098
Cluster287     COVAR   1067   16333       32.181     0.052794       5.8014   1.4798e-08
Cluster139     COVAR   1068   16333       17.931     0.027304       6.2403    0.0020339
Cluster288     COVAR   1068   16333       50.906     0.071762       7.0237   2.2379e-13
Cluster139     COVAR   1069   16333       22.229      0.03385        6.199   0.00016856
Cluster289     COVAR   1069   16333        26.14     0.045826       5.3734   5.7959e-07
Cluster139     COVAR   1070   16333       20.825     0.031712       6.2186   0.00040679
Cluster290     COVAR   1070   16333       32.169     0.050797       6.0687    5.858e-08
Cluster139     COVAR   1071   16333       21.081     0.032102       6.2301   0.00035846
Cluster291     COVAR   1071   16333       28.776     0.041448       6.5585    5.775e-06
Cluster139     COVAR   1072   16333       20.636     0.031424       6.2331   0.00046642
Cluster292     COVAR   1072   16333       30.976     0.045793        6.481   8.8818e-07
Cluster139     COVAR   1073   16333       21.073     0.032088       6.2131   0.00034837
Cluster293     COVAR   1073   16333       31.605       0.0509       5.9133    4.602e-08
Cluster139     COVAR   1074   16333       20.167      0.03071       6.2179   0.00059193
Cluster294     COVAR   1074   16333       41.744     0.058322       6.7924   4.0963e-10
Cluster139     COVAR   1075   16333       21.704      0.03305       6.2065   0.00023607
Cluster295     COVAR   1075   16333       27.105     0.047062       5.4613   3.5106e-07
Cluster139     COVAR   1076   16333       20.439     0.031123       6.2119   0.00050176
Cluster296     COVAR   1076   16333        37.84     0.058586       6.0637   2.2508e-10
Cluster139     COVAR   1077   16333       22.958     0.034959       6.1988   0.00010674
Cluster389     COVAR   1077   16333       22.062     0.032871       6.2018   0.00018793
Cluster139     COVAR   1078   16333       21.755     0.033127       6.2058   0.00022859
Cluster403     COVAR   1078   16333       25.315     0.045975        5.111   3.6987e-07
Cluster139     COVAR   1079   16333       15.655     0.023839       6.5113    0.0081077
Cluster404     COVAR   1079   16333       33.542     0.038889       7.8173   8.9673e-06
Cluster139     COVAR   1080   16333       17.263     0.026287       6.4196    0.0035865
Cluster405     COVAR   1080   16333       33.175     0.040009       8.0031   1.7073e-05
Cluster139     COVAR   1081   16333       21.616     0.032915       6.2343   0.00026379
Cluster407     COVAR   1081   16333       25.835     0.033154       7.2228   0.00017454
Cluster139     COVAR   1082   16333       21.528     0.032782       6.2127   0.00026579
Cluster423     COVAR   1082   16333       39.214     0.043605       8.2564   1.0302e-06
Cluster139     COVAR   1083   16333       21.839     0.033255       6.2088   0.00021864
Cluster424     COVAR   1083   16333       36.744     0.042603       8.0249   2.3604e-06
Cluster139     COVAR   1084   16333       20.169     0.030712       6.2553   0.00063305
Cluster426     COVAR   1084   16333        38.15     0.042082        8.502   3.6384e-06
Cluster139     COVAR   1085   16333       21.887     0.033328       6.2232   0.00021901
Cluster427     COVAR   1085   16333       26.417     0.034609       7.1992   0.00012203
Cluster139     COVAR   1086   16333       22.534     0.034313       6.1978   0.00013912
Cluster428     COVAR   1086   16333       32.689     0.041823       7.2883   3.6747e-06
Cluster139     COVAR   1087   16333       23.113     0.035195       6.1959   9.5994e-05
Cluster433     COVAR   1087   16333       16.054     0.032369       4.4714   0.00016576
Cluster139     COVAR   1088   16333       22.534     0.034313       6.2106   0.00014321
Cluster456     COVAR   1088   16333        21.41     0.031709       6.3564   0.00037919
Cluster139     COVAR   1089   16333       19.761     0.030091        6.408     0.001024
Cluster92      COVAR   1089   16333        17.36      0.02761       6.2482    0.0027357
Cluster140     COVAR   1090   16333       25.565     0.035273       11.271      0.01167
Cluster141     COVAR   1090   16333       15.211     0.021866       10.828      0.08006
Cluster140     COVAR   1091   16333       33.401     0.046085       7.1821   1.6708e-06
Cluster146     COVAR   1091   16333       16.346     0.022374       7.3141     0.012723
Cluster140     COVAR   1092   16333       30.403     0.041948       8.2763   0.00012012
Cluster149     COVAR   1092   16333       13.987     0.018878       8.3755     0.047471
Cluster140     COVAR   1093   16333       34.604     0.047745       6.9324   3.0313e-07
Cluster156     COVAR   1093   16333       22.907     0.033064       6.4062   0.00017526
Cluster140     COVAR   1094   16333       33.244     0.045868       7.1282   1.5679e-06
Cluster167     COVAR   1094   16333       14.987     0.024379       5.9068    0.0055933
Cluster140     COVAR   1095   16333        27.16     0.037475       7.5019   0.00014759
Cluster177     COVAR   1095   16333       26.294     0.036812       7.2713   0.00015008
Cluster140     COVAR   1096   16333       33.203     0.045812       7.2424    2.296e-06
Cluster178     COVAR   1096   16333       12.051     0.019366       5.6562      0.01657
Cluster140     COVAR   1097   16333       34.244     0.047248       7.0222   5.4624e-07
Cluster179     COVAR   1097   16333       16.381     0.025642       6.2642    0.0044663
Cluster140     COVAR   1098   16333         35.9     0.049533       6.8967   9.8268e-08
Cluster202     COVAR   1098   16333       18.035     0.029913       5.5393   0.00056689
Cluster140     COVAR   1099   16333       36.543      0.05042       6.8771   5.4595e-08
Cluster206     COVAR   1099   16333       16.383      0.03301       4.6689   0.00022559
Cluster140     COVAR   1100   16333       32.272     0.044528       6.9556   1.7612e-06
Cluster217     COVAR   1100   16333       41.362     0.049538       8.1743   2.1255e-07
Cluster140     COVAR   1101   16333       34.369      0.04742       6.9161   3.4009e-07
Cluster220     COVAR   1101   16333       26.864     0.041141       6.2486   8.6319e-06
Cluster140     COVAR   1102   16333       35.184     0.048545       6.9151   1.8345e-07
Cluster223     COVAR   1102   16333       18.424     0.032585       5.3372   0.00027905
Cluster140     COVAR   1103   16333       33.705     0.046505       6.9472   6.1936e-07
Cluster224     COVAR   1103   16333       27.241     0.038557        6.717   2.5147e-05
Cluster140     COVAR   1104   16333       34.567     0.047693       6.9001    2.763e-07
Cluster225     COVAR   1104   16333       28.964     0.045308       6.0789   9.5587e-07
Cluster140     COVAR   1105   16333       34.451     0.047534       6.9063    3.085e-07
Cluster226     COVAR   1105   16333       31.751     0.043802       6.9042   2.1443e-06
Cluster140     COVAR   1106   16333       35.527     0.049019       6.8936   1.2961e-07
Cluster227     COVAR   1106   16333       24.734     0.036209       6.3279   4.6624e-05
Cluster140     COVAR   1107   16333       30.489     0.042068       6.9858   6.4212e-06
Cluster228     COVAR   1107   16333       43.516      0.05525       7.6121   5.5482e-09
Cluster140     COVAR   1108   16333       32.579     0.044951       6.9343   1.3254e-06
Cluster229     COVAR   1108   16333        36.16     0.050208       6.6955    3.379e-08
Cluster140     COVAR   1109   16333        34.18     0.047161       6.9189   3.9515e-07
Cluster230     COVAR   1109   16333       26.968      0.04041       6.1372   5.6035e-06
Cluster140     COVAR   1110   16333       32.442     0.044762       6.9328   1.4525e-06
Cluster231     COVAR   1110   16333       39.603     0.052734       7.1084   1.2891e-08
Cluster140     COVAR   1111   16333       33.986     0.046893       6.9214   4.6006e-07
Cluster232     COVAR   1111   16333       31.504     0.042798       6.9907   3.3222e-06
Cluster140     COVAR   1112   16333       33.066     0.045623         6.91   8.6309e-07
Cluster233     COVAR   1112   16333       42.561     0.056636        7.225    1.969e-09
Cluster140     COVAR   1113   16333       33.448      0.04615       6.9143   6.6471e-07
Cluster234     COVAR   1113   16333       41.029     0.050817       7.7151   5.3315e-08
Cluster140     COVAR   1114   16333       34.238     0.047239       6.9432   4.1379e-07
Cluster236     COVAR   1114   16333       23.233     0.034873       6.3281   0.00012112
Cluster140     COVAR   1115   16333       32.306     0.044574       6.9515   1.6976e-06
Cluster237     COVAR   1115   16333       38.291     0.048315        7.453   1.4112e-07
Cluster140     COVAR   1116   16333       34.556     0.047679       6.9512   3.3693e-07
Cluster238     COVAR   1116   16333       21.773     0.030937       6.7452   0.00062519
Cluster140     COVAR   1117   16333       25.844     0.035658       7.0839   0.00013255
Cluster239     COVAR   1117   16333       50.534     0.067823        7.378   3.8791e-12
Cluster140     COVAR   1118   16333       28.829     0.039777       7.0154   1.9958e-05
Cluster240     COVAR   1118   16333       45.034     0.059651       7.2198   2.2909e-10
Cluster140     COVAR   1119   16333       30.813     0.042514        6.937   4.4976e-06
Cluster241     COVAR   1119   16333       44.787     0.066017       6.5784    5.156e-12
Cluster140     COVAR   1120   16333        28.41     0.039198        7.004   2.5084e-05
Cluster242     COVAR   1120   16333       50.643     0.065029       7.5248   8.8232e-12
Cluster140     COVAR   1121   16333       30.183     0.041645        6.992   7.9749e-06
Cluster243     COVAR   1121   16333       40.682     0.057967       7.0119   3.3552e-09
Cluster140     COVAR   1122   16333       34.678     0.047847       6.9616    3.199e-07
Cluster244     COVAR   1122   16333       18.679     0.027895        6.323    0.0015706
Cluster140     COVAR   1123   16333       35.185     0.048547        6.909   1.7894e-07
Cluster245     COVAR   1123   16333        24.04     0.034392       6.5778   0.00012927
Cluster140     COVAR   1124   16333        32.72     0.045146        6.993   1.4554e-06
Cluster248     COVAR   1124   16333       26.274     0.038825       6.5668   3.1701e-05
Cluster140     COVAR   1125   16333       32.477      0.04481       6.9359   1.4319e-06
Cluster249     COVAR   1125   16333       39.514     0.051861       7.2622   2.6956e-08
Cluster140     COVAR   1126   16333       32.922     0.045424       6.9234   1.0022e-06
Cluster250     COVAR   1126   16333       33.442      0.05651       6.1176    2.337e-08
Cluster140     COVAR   1127   16333       30.961     0.042718       6.9913   4.7841e-06
Cluster251     COVAR   1127   16333        34.01     0.053113       6.4465   6.7162e-08
Cluster140     COVAR   1128   16333       31.236     0.043098        6.983   3.8863e-06
Cluster252     COVAR   1128   16333        35.48     0.052314       6.7653   7.9608e-08
Cluster140     COVAR   1129   16333       33.363     0.046032       6.9444   7.8535e-07
Cluster253     COVAR   1129   16333       28.352     0.042997       6.4134   4.9584e-06
Cluster140     COVAR   1130   16333       33.428     0.046122       6.9468   7.5555e-07
Cluster256     COVAR   1130   16333       26.554     0.039758       6.1665   8.3687e-06
Cluster140     COVAR   1131   16333        32.24     0.044483       7.0091   2.1357e-06
Cluster257     COVAR   1131   16333        29.44     0.039153       7.1692   2.0211e-05
Cluster140     COVAR   1132   16333       34.053     0.046985       6.9799   5.4015e-07
Cluster258     COVAR   1132   16333       20.935     0.031037       6.5485   0.00069608
Cluster140     COVAR   1133   16333       28.246     0.038972       7.0757   3.2944e-05
Cluster259     COVAR   1133   16333       42.682     0.056173       7.5396   7.6819e-09
Cluster140     COVAR   1134   16333       29.385     0.040544         7.06   1.5859e-05
Cluster260     COVAR   1134   16333       36.772     0.051314        7.048    9.217e-08
Cluster140     COVAR   1135   16333       28.795      0.03973       7.0739   2.3586e-05
Cluster261     COVAR   1135   16333       37.751     0.053112       7.0187   3.8183e-08
Cluster140     COVAR   1136   16333       26.655     0.036777       7.0986   8.7071e-05
Cluster262     COVAR   1136   16333       46.441     0.061811       7.4598   2.4739e-10
Cluster140     COVAR   1137   16333       26.796     0.036973       7.0989   8.0441e-05
Cluster263     COVAR   1137   16333       42.911     0.061272       6.9798   4.0406e-10
Cluster140     COVAR   1138   16333       30.078     0.041501       7.0043   8.8272e-06
Cluster264     COVAR   1138   16333        37.13     0.054375       6.5896   8.9505e-09
