# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster242     COVAR     42   16333       52.795     0.067792       7.4669   8.1069e-13
Cluster108     COVAR     43   16333       24.207     0.031012       7.6208   0.00074735
Cluster243     COVAR     43   16333       41.687     0.059399       7.0507   1.7272e-09
Cluster108     COVAR     44   16333       29.747     0.038111       7.5799   4.3682e-05
Cluster244     COVAR     44   16333       19.221     0.028705       6.3514    0.0012404
Cluster108     COVAR     45   16333       30.503     0.039079       7.5036    2.414e-05
Cluster245     COVAR     45   16333       24.475     0.035014       6.5908   0.00010264
Cluster108     COVAR     46   16333       28.247     0.036189       7.5673   9.5085e-05
Cluster248     COVAR     46   16333       27.729     0.040975       6.5559   1.1781e-05
Cluster108     COVAR     47   16333       25.628     0.032834       7.6017   0.00037505
Cluster249     COVAR     47   16333       39.466     0.051798       7.3431   3.9033e-08
Cluster108     COVAR     48   16333       27.775     0.035584       7.5229   0.00011168
Cluster250     COVAR     48   16333       34.004      0.05746       6.1326   1.4997e-08
Cluster108     COVAR     49   16333       27.978     0.035844       7.5141   9.8709e-05
Cluster251     COVAR     49   16333       36.119     0.056408        6.392   8.1566e-09
Cluster108     COVAR     50   16333       27.508     0.035242       7.5306   0.00013017
Cluster252     COVAR     50   16333       37.283     0.054973       6.7309   1.5493e-08
Cluster108     COVAR     51   16333       28.341     0.036308       7.5474   8.7045e-05
Cluster253     COVAR     51   16333       29.047     0.044052       6.4305   3.1621e-06
Cluster108     COVAR     52   16333       30.289     0.038805       7.4836   2.6042e-05
Cluster256     COVAR     52   16333       28.491     0.042658       6.1286   1.6853e-06
Cluster108     COVAR     53   16333       28.545      0.03657       7.5428   7.7389e-05
Cluster257     COVAR     53   16333       31.727     0.042194       7.1176   4.1812e-06
Cluster108     COVAR     54   16333       30.276     0.038788       7.5196   2.8485e-05
Cluster258     COVAR     54   16333       22.985     0.034075       6.5085   0.00020731
Cluster108     COVAR     55   16333       25.471     0.032631       7.5673   0.00038259
Cluster259     COVAR     55   16333       45.425     0.059784       7.4391   5.2417e-10
Cluster108     COVAR     56   16333       26.879     0.034435       7.5428   0.00018364
Cluster260     COVAR     56   16333       39.567     0.055215        6.947   6.2808e-09
Cluster108     COVAR     57   16333       26.408     0.033832       7.5496    0.0002352
Cluster261     COVAR     57   16333       40.556      0.05706       6.9106   2.2497e-09
Cluster108     COVAR     58   16333       24.224     0.031035       7.5773    0.0006961
Cluster262     COVAR     58   16333       49.131     0.065392       7.3463   1.1779e-11
Cluster108     COVAR     59   16333         25.2     0.032285       7.5508   0.00042396
Cluster263     COVAR     59   16333        45.71     0.065268       6.8492   1.2974e-11
Cluster108     COVAR     60   16333       27.999     0.035871       7.5013   9.5186e-05
Cluster264     COVAR     60   16333       39.651     0.058066       6.5107   5.8034e-10
Cluster108     COVAR     61   16333       29.865     0.038261       7.4951   3.3983e-05
Cluster265     COVAR     61   16333        28.89     0.044592       6.2649   2.0191e-06
Cluster108     COVAR     62   16333       29.638     0.037971       7.4934   3.8427e-05
Cluster266     COVAR     62   16333        31.33     0.045762       6.3918   4.8109e-07
Cluster108     COVAR     63   16333       29.723     0.038079       7.5037   3.7503e-05
