# TOTAL_GENES = 16365
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster177     COVAR   16365       10.193     0.014274       5.1409      0.02371
Cluster178     COVAR   16365       8.2651     0.013355       4.3778     0.029525
Cluster179     COVAR   16365       2.5748    0.0040517       4.7072       0.2922
Cluster18      COVAR   16365      0.35809     0.003293      0.76203      0.31921
Cluster180     COVAR   16365      -2.2578   -0.0051524       3.2239      0.75814
Cluster181     COVAR   16365       1.1214    0.0021141       3.9397      0.38796
Cluster182     COVAR   16365      -2.1769   -0.0047668       3.3287      0.74343
Cluster183     COVAR   16365      0.19575   0.00035469       3.9621       0.4803
Cluster184     COVAR   16365     -0.70785   -0.0017864       2.7489       0.6016
Cluster185     COVAR   16365       3.2468    0.0057043       4.1383      0.21636
Cluster186     COVAR   16365      -2.3658   -0.0048114       3.5865      0.74525
Cluster187     COVAR   16365       2.2731    0.0036531       4.5298       0.3079
Cluster188     COVAR   16365       8.1944     0.013223       4.5223     0.035003
Cluster189     COVAR   16365       2.5313    0.0055256       3.2288      0.21654
Cluster19      COVAR   16365      -1.1649    -0.008171      0.98859      0.88066
Cluster190     COVAR   16365      -2.2735   -0.0057921        2.861      0.78658
Cluster191     COVAR   16365      -2.5123     -0.00514       3.4707      0.76542
Cluster192     COVAR   16365      -3.7292   -0.0093211       2.8072      0.90797
Cluster193     COVAR   16365      -1.0156   -0.0018546       3.9757      0.60081
Cluster194     COVAR   16365      -3.1106   -0.0067206       3.2448      0.83112
Cluster195     COVAR   16365      -4.9466   -0.0098885       3.7135      0.90857
Cluster196     COVAR   16365       2.0928     0.003791        4.019      0.30128
Cluster197     COVAR   16365      -2.3384   -0.0042461       3.9963      0.72077
Cluster198     COVAR   16365      -2.8789    -0.005474       3.8028      0.77548
Cluster199     COVAR   16365      -1.1175   -0.0028571        2.736      0.65852
Cluster2       COVAR   16365    -0.045292  -0.00070139      0.44686      0.54037
Cluster20      COVAR   16365     -0.40443   -0.0026157        1.083      0.64559
Cluster200     COVAR   16365       3.6835    0.0075642       3.5479      0.14959
