# TOTAL_GENES = 16361
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster122     COVAR     43   16361       16.921     0.022845       6.8742    0.0069243
Cluster426     COVAR     43   16361       39.995     0.044156       8.1139    4.176e-07
Cluster122     COVAR     44   16361       19.164     0.025873       6.7996    0.0024169
Cluster427     COVAR     44   16361       30.088     0.039416       6.6558   3.1103e-06
Cluster122     COVAR     45   16361       23.352     0.031527        6.686   0.00023989
Cluster428     COVAR     45   16361       27.774     0.035554       6.9507     3.24e-05
Cluster122     COVAR     46   16361       22.966     0.031006        6.698   0.00030409
Cluster429     COVAR     46   16361       22.311     0.033393       6.0979   0.00012714
Cluster122     COVAR     47   16361       20.758     0.028026       6.8259    0.0011807
Cluster430     COVAR     47   16361        16.94     0.027118        5.565    0.0011697
Cluster123     COVAR     48   16361       10.126     0.013405       7.5659     0.090395
Cluster132     COVAR     48   16361       31.416     0.049964       6.2344   2.3674e-07
Cluster123     COVAR     49   16361       13.666     0.018091       8.4865     0.053677
Cluster133     COVAR     49   16361       23.593     0.030293       8.7906    0.0036422
Cluster123     COVAR     50   16361       20.137     0.026658       7.2832    0.0028511
Cluster136     COVAR     50   16361       13.691     0.024676       5.1325    0.0038243
Cluster123     COVAR     51   16361       23.536     0.031158       6.8541   0.00029832
Cluster206     COVAR     51   16361       13.518      0.02722       4.2878   0.00081089
Cluster123     COVAR     52   16361       21.506      0.02847       7.0217    0.0010986
Cluster207     COVAR     52   16361       15.428     0.027458       5.0805    0.0011982
Cluster123     COVAR     53   16361       18.674     0.024721        6.991     0.003784
Cluster217     COVAR     53   16361       35.969     0.043123       7.6417   1.2697e-06
Cluster123     COVAR     54   16361       21.764     0.028812       6.8708   0.00077023
Cluster219     COVAR     54   16361        22.53     0.037937        5.327    1.179e-05
Cluster123     COVAR     55   16361       23.234     0.030758         6.89     0.000374
Cluster221     COVAR     55   16361       13.572     0.025047       4.5757    0.0015102
Cluster123     COVAR     56   16361       22.819     0.030208       6.9139   0.00048393
Cluster222     COVAR     56   16361       14.662     0.026672       4.8509     0.001256
Cluster123     COVAR     57   16361       21.676     0.028695        6.939   0.00089475
Cluster224     COVAR     57   16361       22.312     0.031573       6.3625   0.00022744
Cluster123     COVAR     58   16361       20.861     0.027616       6.9556    0.0013562
Cluster225     COVAR     58   16361       22.041     0.034487       5.7469   6.2967e-05
Cluster123     COVAR     59   16361       21.409     0.028342       6.9749    0.0010742
Cluster226     COVAR     59   16361       21.905     0.030238       6.4865   0.00036748
Cluster123     COVAR     60   16361       19.752     0.026148       7.0298    0.0024822
Cluster228     COVAR     60   16361       28.077     0.035651       7.2772   5.7375e-05
Cluster123     COVAR     61   16361       20.984     0.027779       6.9021    0.0011844
Cluster229     COVAR     61   16361       28.227     0.039189       6.5289   7.7365e-06
Cluster123     COVAR     62   16361       24.071     0.031867       6.8289   0.00021249
Cluster230     COVAR     62   16361       17.625      0.02641       5.7174    0.0010276
