VARIABLE,cluster_id,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,n_cells,NGENES,BETA,BETA_STD,SE,P
Cluster324,324,Mmb_324,Mammillary body,NEUR,VGLUT2,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 52.3%, Human HTHma-HTHtub: 34.2%, Human HTHma: 13.5%","LINC00410, AC244258.1, PITX2, FOXB1, TNFRSF11B, AL691420.1, LHX1-DT, LHX1, DRD3, MYO5B",3071,16327,6.1864,0.011846,4.1542,0.068227
Cluster400,400,Splat_400,Splatter,NEUR,CHOL VGLUT3,"Basal forebrain: 54.0%, Amygdala: 22.9%, Hypothalamus: 14.7%","Human SI: 18.9%, Human BNST: 13.9%, Human HTHpo: 11.7%","SLC5A7, LHX8, CHAT, NTRK1, ECEL1, ISL1, AC091576.1, INSRR, OR8A1, CNBD1",769,16327,3.9815,0.012187,2.675,0.068334
Cluster257,257,MGE_257,MGE interneuron,NEUR,GABA,"Cerebral cortex: 73.5%, Hippocampus: 19.7%, Amygdala: 3.5%","Human M1C: 9.5%, Human MTG: 5.2%, Human CA1U-CA2U-CA3U: 4.6%","MEPE, WNT16, MTND6P22, RGS5, HGF, RNF144B, AC006974.2, AC006364.1, LHX6, CPED1",12242,16327,8.7394,0.011713,5.9147,0.069774
Cluster162,162,Amex_162,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 84.9%, Hippocampus: 8.9%, Cerebral cortex: 6.2%","Human BL: 29.2%, Human CMN: 27.0%, Human BM: 25.5%","AC018742.1, POSTN, MEPE, MCOLN3, P2RX2, LINC01885, LINC01606, AC009411.2, DCDC2C, SYTL1",807,16327,7.1569,0.011396,4.8717,0.07092
Cluster385,385,Splat_385,Splatter,NEUR,VGLUT2,"Hypothalamus: 93.4%, Midbrain: 4.5%, Amygdala: 0.8%","Human HTHma-HTHtub: 46.9%, Human HTHtub: 19.6%, Human HTHma: 9.9%","LMX1A, LMX1B, LINC01667, CARTPT, IRX3, CRNDE, AR, TMEM255A, GABRE, IRX6",1800,16327,8.4383,0.011456,5.7732,0.071933
Cluster394,394,Splat_394,Splatter,NEUR,VGLUT2,"Pons: 92.2%, Midbrain: 6.7%, Medulla: 0.5%","Human PB: 78.3%, Human DTg: 10.3%, Human PAG: 4.6%","NPS, LINC01798, IRX4, SLC5A7, LHX9, AC006296.3, AC074099.1, IRX2, LINC01876, TH",1791,16327,6.3847,0.011444,4.3723,0.072123
Cluster453,453,Thex_453,Thalamic excitatory,,VGLUT2,"Thalamus: 82.7%, Midbrain: 17.3%, Cerebral cortex: 0.0%","Human LG: 29.5%, Human MG: 24.7%, Human PTR: 14.4%","CARTPT, CASQ2, ST8SIA6-AS1, PLEKHG4B, RGS16, LEF1, PVALB, PPP1R17, CYP27C1, LINC00868",5556,16327,5.2478,0.011358,3.6037,0.072678
Cluster436,436,Midi_436,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 82.2%, Midbrain: 17.5%, Hypothalamus: 0.1%","Human LG: 28.3%, Human Pul: 26.3%, Human SC: 7.5%","HMCN1, LINC01210, OTX2, SOX14, DMBX1, AC246817.2, OTX2-AS1, AC245123.1, AL133493.1, AC007159.1",13890,16327,6.8147,0.011444,4.7063,0.073823
Cluster202,202,DG_202,Hippocampal dentate gyrus,NEUR,VGLUT1,"Hippocampus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human DGR-CA4Rpy: 87.7%, Human CA1R-CA2R-CA3R: 12.3%","TTR, FOLR1, LINC01697, AC097528.1, AC097487.1, AL672167.1, NTF3, AL591518.1, TARID, AJ006995.1",398,16327,6.7869,0.011255,4.6993,0.074349
Cluster265,265,LLC_265,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 72.8%, Amygdala: 17.1%, Hippocampus: 5.1%","Human MEC: 6.1%, Human M1C: 4.8%, Human BL: 4.2%","AC046195.2, LINC00943, PCDH18, COL15A1, PTHLH, C1QL1, LINC01837, NOG, CA8, PLEKHH2",4251,16327,7.3024,0.011279,5.1072,0.076394
Cluster442,442,Midi_442,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 99.1%, Midbrain: 0.8%, Pons: 0.1%","Human Pul: 22.3%, Human MD: 18.2%, Human LP: 13.8%","AL137100.3, CASR, AL161757.4, OTX2-AS1, OTX2, DMBX1, TSPAN12, LINC01210, NPSR1, VASH2",7951,16327,6.7155,0.011345,4.6975,0.076431
Cluster129,129,ULIT_129,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 99.1%, Hippocampus: 0.4%, Basal forebrain: 0.4%","Human MTG: 14.4%, Human A44-A45: 8.5%, Human A46: 6.7%","LINC02296, LINC00326, AC110014.1, AC016598.2, AJ009632.2, LINC01478, AC016598.1, AC008696.2, LINC00508, LINC00507",46343,16327,7.9765,0.01121,5.5817,0.076507
Cluster272,272,LLC_272,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Cerebral cortex: 67.5%, Amygdala: 16.1%, Basal forebrain: 7.8%","Human MEC: 6.2%, Human FI: 5.9%, Human LEC: 4.8%","LINC01344, SFRP1, ANO1, PDGFD, EYA4, FREM2, AP002989.1, CHRDL1, HAPLN1, ADGRG6",1960,16327,6.2038,0.01122,4.3462,0.076742
Cluster254,254,MGE_254,MGE interneuron,NEUR,GABA VGLUT3,"Cerebral cortex: 77.9%, Hippocampus: 13.0%, Amygdala: 4.5%","Human M1C: 8.3%, Human MTG: 6.2%, Human MEC: 4.6%","LINC01035, KLHL14, AL450345.2, ITGA1, PAWR, FBN2, AL590608.1, AC022133.2, SLC17A8, SST",7539,16327,6.2136,0.011687,4.3714,0.077606
Cluster98,98,DLCT6b_98,Deep-layer corticothalamic and 6b,NEUR,VGLUT1,"Cerebral cortex: 75.6%, Basal forebrain: 10.3%, Amygdala: 7.8%","Human MTG: 8.1%, Human FI: 8.1%, Human M1C: 5.9%","ERG, CCN2, AC079949.3, SLC15A5, SCUBE1, AC002331.1, CDH24, DPP4, TNIP3, OLFML2B",4953,16327,6.2802,0.01091,4.4382,0.07854
Cluster306,306,CBI_306,Cerebellar inhibitory,,GABA,"Cerebellum: 91.6%, Pons: 3.4%, Medulla: 3.3%","Human CBV: 84.2%, Human CBL: 7.2%, Human PnEN: 1.5%","SCGN, TFAP2B, LIPG, LMCD1, LRRC38, BHLHE22, TFAP2A, LBX1-AS1, EN2, CHRNA3",6586,16327,5.1049,0.011004,3.6371,0.080235
Cluster365,365,Splat_365,Splatter,NEUR,GABA VGLUT2,"Pons: 43.0%, Midbrain: 30.2%, Medulla: 17.1%","Human DTg: 13.8%, Human PnEN: 12.8%, Human MoRF-MoEN: 11.6%","SLC6A5, GLRA1, ONECUT1, LHX5-AS1, MAB21L2, LHX1, LINC01933, ASAH2, KLHL1, IGDCC4",28081,16327,7.9962,0.010946,5.746,0.08203
Cluster319,319,LRL_319,Lower rhombic lip,NEUR,VGLUT1 VGLUT2,"Pons: 97.8%, Midbrain: 1.2%, Medulla: 1.0%","Human PN: 45.9%, Human PnEN: 25.5%, Human PnRF: 15.0%","LINC00355, IRX2, AL139351.3, AC136431.1, AC093765.2, S100A10, ADAMTS20, LINC02476, CDH23, BARHL1",8164,16327,5.2805,0.011052,3.797,0.082168
Cluster330,330,Mmb_330,Mammillary body,NEUR,VGLUT2,"Hypothalamus: 100.0%, Cerebral cortex: 0.0%, Amygdala: 0.0%","Human MN: 44.6%, Human HTHma-HTHtub: 36.1%, Human HTHma: 19.2%","AC244258.1, AL691420.1, PITX2, FOXB1, SIM1, ANXA3, LHX1-DT, AC087664.2, AC093912.1, LHX1",1808,16327,5.8602,0.010839,4.2994,0.086446
Cluster56,56,Astro_56,Astrocyte,ASTRO,,"Hypothalamus: 30.0%, Thalamus: 21.5%, Amygdala: 14.3%","Human HTHso: 21.4%, Human VLN: 10.7%, Human HTHtub: 7.1%","TNC, GFAP, OBI1-AS1, FGFR3, GJA1, AC012405.1, EFEMP1, AQP4, SLC14A1, ETNPPL",1672,16327,4.0552,0.010781,2.9768,0.086569
Cluster46,46,Oligo_46,Oligodendrocyte,OLIGO,,"Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%","Human SN-RN: 9.7%, Human SN: 6.7%, Human CbDN: 5.9%","CNDP1, LINC01608, OPALIN, RNASE1, LINC01792, NKX6-2, MAG, PPP1R14A, CD9, TMEM98",60616,16327,3.1051,0.010523,2.2828,0.086889
Cluster451,451,Thex_451,Thalamic excitatory,,VGLUT2,"Thalamus: 99.9%, Midbrain: 0.1%, Hypothalamus: 0.0%","Human MD: 29.1%, Human ETH: 20.1%, Human ANC: 18.7%","CASQ2, AC016766.1, LINC00868, RGS16, C2orf83, TGFBR2, CYP27C1, AC106874.1, AOX2P, SHOX2",9740,16327,5.2244,0.01072,3.8602,0.087974
Cluster200,200,DG_200,Hippocampal dentate gyrus,NEUR,VGLUT1,"Hippocampus: 99.4%, Thalamus: 0.5%, Midbrain: 0.1%","Human CA4C-DGC: 59.1%, Human DGR-CA4Rpy: 18.1%, Human DGU-CA4Upy: 11.3%","LINC01697, AC097487.1, AJ006995.1, CHRNA1, TARID, AC097528.1, AC079793.1, NTF3, MCOLN3, COL6A3",23293,16327,4.8219,0.0098835,3.5719,0.088527
Cluster245,245,MGE_245,MGE interneuron,NEUR,GABA,"Amygdala: 50.6%, Cerebral cortex: 31.0%, Hippocampus: 15.3%","Human CMN: 23.8%, Human BL: 9.2%, Human BM: 7.6%","NPY, LINC02397, ELFN1, SST, MCUB, AC022905.1, STK32B, TNFSF15, AC105411.1, AC113347.4",1566,16327,7.4125,0.010608,5.4994,0.088859
Cluster266,266,LLC_266,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Amygdala: 42.8%, Hippocampus: 27.1%, Cerebral cortex: 25.1%","Human CMN: 12.5%, Human BL: 8.8%, Human La: 8.4%","IL18R1, C1QL1, COL15A1, IBSP, LINC01837, CPED1, LINC00943, GRIN2C, LHX6, PTHLH",3566,16327,7.1098,0.010393,5.2821,0.089162
Cluster450,450,Thex_450,Thalamic excitatory,,VGLUT2,"Thalamus: 99.9%, Basal forebrain: 0.0%, Hypothalamus: 0.0%","Human MD: 45.8%, Human ANC: 20.8%, Human ETH: 14.5%","CASQ2, RGS16, AC016766.1, SHOX2, GDNF, TGFBR2, FAM20A, VANGL1, IRAG1, LINC00868",3092,16327,4.9556,0.010573,3.6933,0.089842
Cluster23,23,Per_23,Vascular,,,"Thalamus: 48.8%, Cerebral cortex: 25.0%, Basal forebrain: 10.7%","Human Pul: 31.0%, Human STG: 7.1%, Human LP: 6.0%","ITIH5, SLC6A12, SLC6A13, ATP1A2, DCN, PRELP, COLEC12, IFITM2, MUSTN1, TFPI",84,16327,1.9062,0.010059,1.4269,0.090799
Cluster253,253,MGE_253,MGE interneuron,NEUR,GABA,"Cerebral cortex: 81.1%, Amygdala: 8.4%, Basal forebrain: 6.1%","Human M1C: 8.3%, Human FI: 6.3%, Human MTG: 5.3%","LINC00943, SCARA5, AC092353.2, AL450345.2, SST, LHX6, PAWR, TH, TLL2, NMU",5703,16327,6.8324,0.010373,5.134,0.091637
Cluster154,154,Amex_154,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 87.5%, Cerebral cortex: 6.8%, Hippocampus: 5.7%","Human BL: 55.4%, Human La: 20.5%, Human BM: 8.2%","DCSTAMP, AL445207.1, PTGER3, AC005909.2, LINC01821, SMIM36, AC099517.1, AC018742.1, AC022655.1, AC004704.1",7970,16327,5.6963,0.0099449,4.2923,0.092248
Cluster369,369,Splat_369,Splatter,NEUR,VGLUT2,"Midbrain: 96.5%, Thalamus: 2.3%, Pons: 0.6%","Human PTR: 42.2%, Human SC: 39.6%, Human IC: 6.3%","TFAP2B, FOXB1, LHX9, TFAP2D, SHOX2, NTS, EBF3, FAM9B, LEF1, AC074237.1",2975,16327,7.4466,0.010252,5.6412,0.093422
Cluster150,150,DLIT_150,Deep-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 95.3%, Hippocampus: 2.2%, Basal forebrain: 1.3%","Human M1C: 11.9%, Human MTG: 7.3%, Human A23: 4.7%","SMYD1, OLFML2B, SMIM32, POSTN, THEMIS, AL136119.1, MCTP2, GAS2L3, AL356432.3, NTNG2",12307,16327,5.0023,0.010179,3.7905,0.09348
Cluster220,220,MSN_220,Medium spiny neuron,NEUR,GABA,"Amygdala: 91.6%, Thalamus: 8.4%, Cerebral cortex: 0.0%","Human CEN: 87.5%, Human VA: 6.4%, Human La: 2.6%","FAM9B, ISL1, AC010478.1, PTGDR, NPNT, EBF1, DRD1, MYO3A, LPL, GDNF-AS1",391,16327,6.7958,0.010401,5.1643,0.094111
Cluster219,219,MSN_219,Medium spiny neuron,NEUR,GABA,"Amygdala: 33.2%, Basal forebrain: 32.8%, Hypothalamus: 18.6%","Human SI: 31.0%, Human BNST: 23.2%, Human HTHpo: 13.6%","ISL1, NPNT, AC010478.1, LINC02462, PROK2, AC015631.1, DRD3, AC022433.1, NMBR, LINC01951",8342,16327,5.8364,0.0098347,4.5248,0.098561
Cluster406,406,Amex_406,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 50.5%, Cerebral cortex: 46.9%, Hypothalamus: 2.4%","Human Pir: 27.1%, Human A35-A36: 18.8%, Human CoA: 17.9%","RXFP2, AC112178.1, SCUBE1, FBXL21P, TFAP2D, IRAG2, AC109439.1, PLEKHG4B, CARTPT, NDST4",4858,16327,5.7249,0.01001,4.4838,0.10085
Cluster224,224,EMSN_224,Eccentric medium spiny neuron,NEUR,GABA,"Basal forebrain: 70.9%, Amygdala: 13.6%, Cerebral cortex: 8.2%","Human SI: 29.8%, Human NAC: 26.6%, Human BNST: 13.0%","SLC35D3, CASZ1, AL590867.1, AC022133.2, FBXL21P, AC022126.1, DRD1, LECT2, C6orf141, RXRG",4297,16327,7.1819,0.010169,5.6305,0.10107
Cluster391,391,Splat_391,Splatter,NEUR,GABA,"Hypothalamus: 92.3%, Thalamus: 3.3%, Midbrain: 2.8%","Human HTHpo-HTHso: 48.5%, Human HTHma-HTHtub: 13.7%, Human HTHma: 12.2%","SFRP1, AVP, PDGFD, AL158013.1, EGFL6, ABI3BP, GBX1, NFIA-AS2, AC008415.1, LINC01938",827,16327,5.439,0.0095646,4.2803,0.10193
Cluster343,343,Splat_343,Splatter,NEUR,VGLUT2,"Medulla: 57.2%, Spinal cord: 34.1%, Pons: 5.9%","Human MoAN: 47.7%, Human SpC: 34.1%, Human MoSR: 9.2%","EBF2, DRGX, LMX1B, EBF1, MAFA, EBF3, HOXB7, HOXB3, AC024230.1, HOXD3",2797,16327,3.7647,0.010801,2.9704,0.10251
Cluster397,397,Splat_397,Splatter,NEUR,SER VGLUT3,"Pons: 80.1%, Medulla: 8.1%, Midbrain: 7.6%","Human PnRF: 26.5%, Human PnEN: 26.2%, Human DTg: 23.2%","TPH2, SLC6A4, FEV, SLC18A2, LMX1B, DDC, GATA3, NDNF, VWA5B1, AMIGO2",1316,16327,4.3679,0.0096673,3.4545,0.10305
Cluster434,434,Midi_434,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 89.3%, Midbrain: 8.9%, Pons: 1.3%","Human VLN: 16.5%, Human LG: 15.2%, Human LP: 14.1%","NPSR1, CASR, LINC01210, OTX2, AL161757.4, SOX14, DMBX1, AL137100.3, NPPC, AL133493.1",8469,16327,5.8733,0.010182,4.6509,0.10333
Cluster276,276,CGE_276,CGE interneuron,NEUR,GABA VGLUT3,"Hippocampus: 73.7%, Amygdala: 13.0%, Cerebral cortex: 10.8%","Human CA3R: 12.6%, Human CA4C-DGC: 12.2%, Human CA1U-CA2U-CA3U: 11.2%","SHISAL2B, HTR3A, SLC17A8, LINC01997, GAS2L3, SCGN, AC112178.1, GPC3, PTGFR, ACADL",2080,16327,6.1518,0.0097516,4.9114,0.1052
Cluster88,88,DLNP_88,Deep-layer near-projecting,NEUR,VGLUT1,"Cerebral cortex: 92.2%, Basal forebrain: 4.8%, Amygdala: 1.9%","Human MTG: 15.3%, Human Idg: 10.9%, Human FI: 7.9%","IFNG-AS1, LINC02218, NPSR1-AS1, NPSR1, CD200R1L, AC244502.1, AC005909.2, IL26, CD36, CDCP1",1548,16327,6.05,0.0097726,4.8378,0.10555
Cluster95,95,DLNP_95,Deep-layer near-projecting,NEUR,VGLUT1,"Cerebral cortex: 89.0%, Basal forebrain: 7.0%, Hypothalamus: 3.3%","Human A25: 21.2%, Human ACC: 13.9%, Human AON: 12.5%","NPSR1-AS1, AC009081.2, ERG, CCDC80, HMGA2, MYOCD, PDLIM1, CD200R1L, FSHR, GNAT3",1307,16327,5.0259,0.0096177,4.0352,0.10648
Cluster84,84,DLCT6b_84,Deep-layer corticothalamic and 6b,NEUR,VGLUT1 VGLUT2 VGLUT3,"Hippocampus: 98.5%, Amygdala: 0.8%, Cerebral cortex: 0.7%","Human CA1U-CA2U-CA3U: 20.1%, Human CA2U-CA3U: 19.3%, Human CA1-2R: 13.5%","PIWIL1, NPSR1-AS1, SLC9C1, IFNG-AS1, LINC02218, LINC01479, CPZ, ABCA12, LPO, C3orf52",4474,16327,5.9547,0.0098737,4.7846,0.10666
Cluster335,335,Splat_335,Splatter,NEUR,VGLUT2,"Medulla: 78.3%, Pons: 15.9%, Midbrain: 4.8%","Human IO: 70.8%, Human PnRF: 13.5%, Human MoSR: 3.2%","HSPD1P8, AC092445.1, LINC00331, POU4F1, TES, HOXD3, AC096773.1, PDLIM1, AC093772.1, LINC00581",993,16327,3.5362,0.0097742,2.8492,0.10729
Cluster341,341,Splat_341,Splatter,NEUR,VGLUT2,"Pons: 98.8%, Medulla: 1.2%, Cerebral cortex: 0.0%","Human DTg: 81.3%, Human PnEN: 11.1%, Human PnAN: 4.7%","EBF2, EBF3, AC079160.1, EBF1, DRGX, LINC01798, LINC01645, CNGA3, AC096719.1, LBX1-AS1",342,16327,4.2969,0.0093024,3.4993,0.10975
Cluster48,48,Oligo_48,Oligodendrocyte,OLIGO,,"Basal forebrain: 47.8%, Thalamus: 42.2%, Hypothalamus: 5.3%","Human GPe: 47.6%, Human CM-Pf: 36.8%, Human MN: 5.3%","AC061958.1, PDE4B-AS1, AL589787.1, LINC01608, MUSK, AC103831.1, AC026746.1, OPALIN, AC093330.1, SPATA22",2190,16327,2.2833,0.0092638,1.8674,0.11073
Cluster250,250,MGE_250,MGE interneuron,NEUR,GABA,"Cerebral cortex: 92.5%, Hippocampus: 2.4%, Basal forebrain: 2.2%","Human MEC: 7.1%, Human M1C: 7.0%, Human MTG: 5.6%","PROM1, NMU, ADGRG6, AC022905.1, KCNJ5, MCUB, PAWR, SST, SCARA5, AC113347.4",16604,16327,5.9996,0.010144,4.9272,0.11169
Cluster396,396,Splat_396,Splatter,NEUR,VGLUT3,"Pons: 66.2%, Midbrain: 31.2%, Hypothalamus: 1.2%","Human DTg: 32.0%, Human PnEN: 26.2%, Human PAG: 17.4%","LMX1B, FEV, TPH2, SLC17A8, RLN3, GATA3, LINC01956, SLC6A4, GATA2, VWA5B1",1608,16327,5.2215,0.0090698,4.3358,0.11426
Cluster348,348,Splat_348,Splatter,NEUR,GLY,"Medulla: 65.6%, Spinal cord: 26.9%, Pons: 6.0%","Human MoAN: 39.0%, Human SpC: 26.9%, Human MoSR: 19.3%","HOXB3, PAX2, GBX1, HOXD3, GPC3, PAX8, NPPC, HOXB7, SLC6A5, SALL3",1861,16327,3.7527,0.010217,3.1311,0.11537
Cluster41,41,COP_41,Committed oligodendrocyte precursor,OLIGO,,"Amygdala: 24.7%, Hypothalamus: 23.3%, Basal forebrain: 20.2%","Human HTHso: 18.1%, Human La: 17.3%, Human GPe: 16.1%","OPALIN, LINC01608, CD22, CDH1, FA2H, LINC01099, LINC01792, MYRF, LINC00639, AC110285.1",1310,16327,3.7303,0.0092768,3.1267,0.11643
Cluster120,120,ULIT_120,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 91.5%, Hypothalamus: 4.6%, Basal forebrain: 2.9%","Human FI: 14.3%, Human M1C: 13.2%, Human ACC: 12.6%","GLP2R, LINC02248, LINC02306, AC009878.2, LINC01622, CBLN2, SLCO2A1, TTC6, LINC01378, AL132633.1",21417,16327,6.8164,0.0094232,5.7312,0.11716
Cluster361,361,Splat_361,Splatter,NEUR,GABA,"Midbrain: 83.4%, Thalamus: 14.3%, Pons: 1.8%","Human PTR: 49.6%, Human PAG: 14.9%, Human ETH: 8.9%","LINC01497, GATA3, AC005208.1, KCNJ16, GATA2, AC074099.1, LINC01876, LHX5-AS1, SIX3, LHX1",1067,16327,5.1884,0.009082,4.3733,0.11775
Cluster407,407,Amex_407,Amygdala excitatory,NEUR,VGLUT2 VGLUT3,"Amygdala: 72.6%, Cerebral cortex: 23.5%, Hippocampus: 2.7%","Human CEN: 31.1%, Human CMN: 27.2%, Human A35-A36: 18.1%","TFAP2C, PAPPA2, CARTPT, BARHL2, LINC01798, MEIS1-AS3, AC006065.4, LHX9, GALR1, POU2F3",2370,16327,6.9997,0.0091109,5.9208,0.11857
Cluster157,157,Amex_157,Amygdala excitatory,NEUR,VGLUT1 VGLUT2,"Amygdala: 65.8%, Cerebral cortex: 28.7%, Hippocampus: 5.5%","Human BL: 31.3%, Human BM: 23.4%, Human Pir: 14.2%","TG, CERS3-AS1, AC099565.1, CAPN8, AL136441.1, SLA, MOXD1, DSP, AL136985.3, SEMA3D",14855,16327,5.1837,0.0097541,4.4392,0.12147
Cluster255,255,MGE_255,MGE interneuron,NEUR,GABA,"Cerebral cortex: 67.2%, Amygdala: 13.0%, Hippocampus: 12.1%","Human M1C: 5.6%, Human CEN: 5.0%, Human MTG: 4.3%","AC046195.2, WNT16, GLP1R, HGF, AL138899.1, MYBPC1, TRDN, LINC01885, AC046195.1, AC006364.1",3341,16327,5.932,0.0092435,5.0818,0.12155
Cluster188,188,CA13_188,Hippocampal CA1-3,NEUR,VGLUT1,"Hippocampus: 98.4%, Cerebral cortex: 1.2%, Amygdala: 0.3%","Human CA1U-CA2U-CA3U: 31.4%, Human Sub: 31.1%, Human CA1: 29.6%","NTS, AC023781.1, CTXND1, AC004160.1, LINC02153, AC010230.1, FNDC1, ABCA13, COL24A1, AC092661.1",1458,16327,5.5165,0.0088034,4.7308,0.12181
Cluster390,390,Splat_390,Splatter,NEUR,GABA,"Thalamus: 81.4%, Amygdala: 5.6%, Pons: 5.3%","Human LG: 42.0%, Human ANC: 34.7%, Human BNST: 5.4%","ECEL1, SST, LINC00540, PAX6, DLK1, ARHGAP36, EGFL6, GPC3, LHX1, SIX3",3366,16327,6.5724,0.0088833,5.7322,0.12579
Cluster374,374,Splat_374,Splatter,NEUR,VGLUT2,"Pons: 77.9%, Midbrain: 19.6%, Medulla: 2.0%","Human PB: 67.0%, Human PTR: 16.2%, Human DTg: 8.6%","LMX1A, TFAP2B, LMX1B, CALCB, CALCA, EBF2, AC007614.1, ONECUT1, BNC2, CBLN1",1666,16327,5.1725,0.0087555,4.5973,0.13028
Cluster47,47,Oligo_47,Oligodendrocyte,OLIGO,,"Thalamus: 24.9%, Cerebral cortex: 20.9%, Hippocampus: 13.8%","Human GPe: 5.4%, Human STH: 4.8%, Human MTG: 4.2%","OPALIN, LINC01608, CD9, LINC01792, RNASE1, CNDP1, AC110285.1, PLLP, NKX6-2, MAG",124837,16327,2.6696,0.0087081,2.3821,0.13122
Cluster124,124,ULIT_124,Upper-layer intratelencephalic,NEUR,VGLUT1 VGLUT2,"Cerebral cortex: 98.9%, Basal forebrain: 0.5%, Hippocampus: 0.2%","Human MTG: 12.5%, Human A44-A45: 10.1%, Human A13: 9.0%","LINC00507, LINC00508, AC097512.1, AC110614.1, LINC02263, LINC02306, LINC00326, AC092440.1, AC093607.1, AC110014.1",28224,16327,5.4807,0.0088116,4.9139,0.13236
Cluster393,393,Splat_393,Splatter,NEUR,GABA,"Thalamus: 76.5%, Hypothalamus: 10.6%, Midbrain: 6.0%","Human ANC: 35.5%, Human VLN: 13.9%, Human LG: 9.9%","AC006065.4, ISL1, LINC00943, LINC02058, SST, AC010478.1, SIX3, AC093298.2, COL8A1, INHBB",2754,16327,6.6005,0.0089518,5.9237,0.1326
Cluster249,249,MGE_249,MGE interneuron,NEUR,GABA,"Cerebral cortex: 61.8%, Hippocampus: 23.3%, Amygdala: 10.2%","Human MEC: 10.2%, Human LEC: 7.8%, Human CA1C-CA3C: 6.1%","SCARA5, SST, ELFN1, DCN, ITGA1, PAWR, FAM89A, TNFSF15, MCUB, CRHBP",5821,16327,6.5784,0.0086388,5.9485,0.1344
Cluster258,258,MGE_258,MGE interneuron,NEUR,GABA VGLUT3,"Cerebral cortex: 80.1%, Hippocampus: 6.7%, Amygdala: 6.3%","Human M1C: 8.8%, Human MEC: 6.6%, Human FI: 5.5%","WNT16, LINC01035, HGF, LHX6, TCIM, AC006364.1, AC046195.2, MYO5B, CRHBP, ARX",12943,16327,5.8976,0.0087634,5.3828,0.13663
Cluster53,53,Astro_53,Astrocyte,ASTRO,,"Hippocampus: 96.3%, Cerebral cortex: 1.5%, Basal forebrain: 1.3%","Human CA4C-DGC: 23.9%, Human DGR-CA4Rpy: 18.3%, Human CA1: 18.1%","LINC00499, GLI3, OAF, ETNPPL, PRDM16-DT, CD38, AC097518.2, FGFR3, OBI1-AS1, AL137139.2",4803,16327,2.4278,0.0085018,2.2398,0.1392
Cluster444,444,Midi_444,Midbrain-derived inhibitory,NEUR,GABA,"Thalamus: 83.2%, Midbrain: 14.0%, Pons: 1.9%","Human LG: 57.2%, Human Pul: 4.7%, Human MD: 4.2%","OTX2-AS1, DMBX1, OTX2, CASR, NPPC, AL137100.3, AL161757.4, AL133493.1, LINC01210, LINC02253",3991,16327,4.2964,0.0084268,3.9835,0.14041
Cluster248,248,MGE_248,MGE interneuron,NEUR,GABA,"Cerebral cortex: 78.8%, Hippocampus: 12.5%, Amygdala: 5.0%","Human V1C: 11.2%, Human M1C: 10.1%, Human MTG: 4.4%","HPGD, TAC1, FAM89A, AL450345.2, DCN, ALDH1A3, AC096751.2, CORT, BMP3, LHX6",2535,16327,5.7354,0.0084777,5.3505,0.14188
Cluster301,301,CBI_301,Cerebellar inhibitory,NEUR,GLY,"Pons: 92.6%, Medulla: 6.6%, Cerebral cortex: 0.7%","Human PnEN: 37.5%, Human PnAN: 26.5%, Human DTg: 16.9%","SLC6A5, TFAP2B, AC104574.2, PAX2, TFAP2A, BHLHE22, AC090796.1, XDH, AC018618.1, LBX1-AS1",136,16327,3.5934,0.0082514,3.3903,0.14461
Cluster83,83,DLNP_83,Deep-layer near-projecting,NEUR,VGLUT1,"Cerebral cortex: 92.0%, Basal forebrain: 3.2%, Hypothalamus: 1.9%","Human M1C: 22.3%, Human S1C: 5.3%, Human MTG: 4.6%","AC022535.1, AL359313.1, AC044893.1, ERG, AL353072.2, MYH4, AC005909.2, NPSR1-AS1, ABCC9, LPO",476,16327,3.9236,0.0078364,3.7233,0.146
Cluster52,52,Astro_52,Astrocyte,ASTRO,,"Cerebral cortex: 90.3%, Hypothalamus: 3.9%, Hippocampus: 2.2%","Human MTG: 14.9%, Human STG: 7.9%, Human TH-TL: 6.2%","LINC01727, FGFR3, LINC00499, ZNF98, PRDM16-DT, F3, GJB6, PAPLN, GJA1, OAF",25484,16327,2.3859,0.0081639,2.2828,0.14799
