# MEAN_SAMPLE_SIZE = 26052
# TOTAL_GENES = 16076
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster191     COVAR   16076       5.9813     0.012172       3.6157     0.049051
Cluster192     COVAR   16076       1.2737    0.0031996       2.9124      0.33094
Cluster193     COVAR   16076      -1.8673   -0.0034014       3.9955      0.67987
Cluster194     COVAR   16076       -1.936   -0.0041516       3.3944      0.71578
Cluster195     COVAR   16076      -2.2207   -0.0044583        3.426      0.74156
Cluster196     COVAR   16076      -1.2748   -0.0023047       4.0384      0.62387
Cluster197     COVAR   16076       -3.957    -0.007185       4.1323      0.83085
Cluster198     COVAR   16076     -0.41778  -0.00077519       4.0458      0.54112
Cluster199     COVAR   16076     -0.33253  -0.00085914        2.816        0.547
Cluster2       COVAR   16076     -0.22501   -0.0035257      0.46691      0.68506
Cluster20      COVAR   16076     -0.12859  -0.00083101       1.1267      0.54543
Cluster200     COVAR   16076       2.0368    0.0042158       3.5607      0.28365
