whb_cluster,supercluster,top_regions,weight
Splat_422,Splatter,"Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%",5.1535
Splat_396,Splatter,"Pons: 66.2%, Midbrain: 31.2%, Hypothalamus: 1.2%",4.9767
Splat_386,Splatter,"Medulla: 98.2%, Pons: 1.2%, Midbrain: 0.6%",4.8156
Splat_377,Splatter,"Hypothalamus: 33.0%, Amygdala: 32.4%, Thalamus: 31.4%",4.7518
Splat_415,Splatter,"Hypothalamus: 78.7%, Midbrain: 7.6%, Thalamus: 3.7%",4.6959
