# MEAN_SAMPLE_SIZE = 57513
# TOTAL_GENES = 16333
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Cluster394     COVAR   16333       9.3969      0.01684       5.0533     0.031486
Cluster395     COVAR   16333       4.3673     0.010669       3.6898      0.11829
Cluster396     COVAR   16333       12.618     0.021873       5.2672    0.0083033
Cluster397     COVAR   16333    -0.045505  -0.00010064        4.165      0.50436
Cluster398     COVAR   16333      0.51469    0.0012198       3.9101      0.44764
Cluster399     COVAR   16333       1.3276    0.0043231       2.8375      0.31994
Cluster4       COVAR   16333      -2.2058    -0.019396       1.0282      0.98403
Cluster40      COVAR   16333       6.6627     0.020599       3.0796     0.015261
Cluster400     COVAR   16333       4.8363     0.014799       3.0552     0.056726
Cluster401     COVAR   16333       1.4692     0.003344       4.0002      0.35671
Cluster402     COVAR   16333       7.7697      0.01537       4.7076     0.049436
Cluster403     COVAR   16333       26.856     0.048774       5.0942   6.8586e-08
Cluster404     COVAR   16333       39.425     0.045709        7.426    5.602e-08
Cluster405     COVAR   16333       38.946     0.046969       7.7118   2.2363e-07
Cluster406     COVAR   16333       8.6779     0.014753       5.6885     0.063576
Cluster407     COVAR   16333       28.961     0.037165       7.1694   2.6937e-05
Cluster408     COVAR   16333       4.4802     0.013274       3.0469     0.070734
Cluster409     COVAR   16333        5.593     0.015353       3.2354     0.041945
Cluster41      COVAR   16333       10.063     0.025072       3.7707    0.0038112
Cluster410     COVAR   16333       3.8452    0.0088469       3.9141      0.16297
Cluster411     COVAR   16333       6.6918     0.015743       3.9817     0.046428
Cluster412     COVAR   16333     -0.48333   -0.0012474       3.7721      0.55098
Cluster413     COVAR   16333      0.86458     0.001967       3.8675      0.41155
Cluster414     COVAR   16333      -1.1402   -0.0027366       3.9277       0.6142
Cluster415     COVAR   16333       5.4505    0.0090285       5.6607      0.16781
Cluster416     COVAR   16333       8.7683     0.015855       5.3152     0.049519
Cluster417     COVAR   16333        8.702     0.013773       5.8871     0.069695
Cluster418     COVAR   16333      0.39008   0.00079868       4.4913       0.4654
Cluster419     COVAR   16333        16.34     0.021422       6.8514    0.0085496
Cluster42      COVAR   16333       10.524     0.026072       3.8202    0.0029402
Cluster420     COVAR   16333       10.896     0.017198       5.4975     0.023746
Cluster421     COVAR   16333       5.3918    0.0085445       5.8037      0.17644
Cluster422     COVAR   16333       22.022     0.028155       7.5002    0.0016645
Cluster423     COVAR   16333       41.998     0.046701       8.2207   1.6441e-07
Cluster424     COVAR   16333       39.286      0.04555       7.9958   4.5313e-07
Cluster425     COVAR   16333       25.398     0.031223       7.4407   0.00032182
Cluster426     COVAR   16333       42.282     0.046639       8.4079   2.4999e-07
Cluster427     COVAR   16333       29.203     0.038259       7.1586   2.2711e-05
Cluster428     COVAR   16333       34.467     0.044098       7.2753   1.0928e-06
Cluster429     COVAR   16333       21.775     0.032602       6.4322   0.00035645
Cluster43      COVAR   16333       4.2761     0.012841       3.0774      0.08235
Cluster430     COVAR   16333       17.766     0.028442       6.0213     0.001589
Cluster431     COVAR   16333      -5.1471    -0.014034        3.336      0.93856
Cluster432     COVAR   16333      -1.4586   -0.0052014       2.8503      0.69558
Cluster433     COVAR   16333       17.018     0.034313       4.4662   6.9682e-05
Cluster434     COVAR   16333        18.02     0.031143       5.4408   0.00046424
