VARIABLE,TYPE,NGENES,BETA,BETA_STD,SE,P,bonf_significant,rank,Cluster ID,Cluster name,Supercluster,Class auto-annotation,Top three regions
Cluster299,COVAR,16231,7.4632,0.014651,5.9386,0.10444,False,270,299.0,CBI_299,Cerebellar inhibitory,NEUR,"Cerebellum: 71.1%, Pons: 20.4%, Midbrain: 4.5%"
Cluster341,COVAR,16231,6.5677,0.014238,5.286,0.10704,False,271,341.0,Splat_341,Splatter,NEUR,"Pons: 98.8%, Medulla: 1.2%, Cerebral cortex: 0.0%"
Cluster99,COVAR,16231,8.0476,0.014596,6.5163,0.10843,False,272,99.0,DLCT6b_99,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 80.0%, Basal forebrain: 11.2%, Hippocampus: 6.5%"
Cluster442,COVAR,16231,8.6836,0.014687,7.1504,0.1123,False,273,442.0,Midi_442,Midbrain-derived inhibitory,NEUR,"Thalamus: 99.1%, Midbrain: 0.8%, Pons: 0.1%"
Cluster107,COVAR,16231,6.8126,0.01372,5.6337,0.11329,False,274,107.0,DLCT6b_107,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 100.0%, Amygdala: 0.0%, Hippocampus: 0.0%"
Cluster187,COVAR,16231,8.699,0.013753,7.4207,0.12056,False,275,187.0,CA13_187,Hippocampal CA1-3,NEUR,"Hippocampus: 92.4%, Amygdala: 6.4%, Cerebral cortex: 1.1%"
Cluster246,COVAR,16231,7.7587,0.013777,6.783,0.12636,False,276,246.0,MGE_246,MGE interneuron,NEUR,"Hippocampus: 72.3%, Cerebral cortex: 16.5%, Amygdala: 8.9%"
Cluster145,COVAR,16231,7.988,0.013303,7.0752,0.12946,False,277,145.0,DLIT_145,Deep-layer intratelencephalic,NEUR,"Cerebral cortex: 65.1%, Hippocampus: 19.6%, Amygdala: 15.0%"
Cluster301,COVAR,16231,5.4392,0.012488,4.9023,0.13361,False,278,301.0,CBI_301,Cerebellar inhibitory,NEUR,"Pons: 92.6%, Medulla: 6.6%, Cerebral cortex: 0.7%"
Cluster218,COVAR,16231,8.0796,0.01269,7.4957,0.14055,False,279,218.0,MSN_218,Medium spiny neuron,NEUR,"Basal forebrain: 50.9%, Amygdala: 22.3%, Hypothalamus: 18.5%"
Cluster210,COVAR,16231,5.8283,0.011896,5.6598,0.15157,False,280,210.0,MSN_210,Medium spiny neuron,NEUR,"Basal forebrain: 97.9%, Thalamus: 1.9%, Hippocampus: 0.2%"
Cluster298,COVAR,16231,5.7337,0.011897,5.7558,0.1596,False,281,298.0,CBI_298,Cerebellar inhibitory,NEUR,"Pons: 82.7%, Cerebellum: 11.0%, Medulla: 4.1%"
Cluster101,COVAR,16231,4.9538,0.011567,5.0121,0.1615,False,282,101.0,DLCT6b_101,Deep-layer corticothalamic and 6b,NEUR,"Cerebral cortex: 65.6%, Hippocampus: 29.5%, Amygdala: 4.8%"
Cluster87,COVAR,16231,6.298,0.011813,6.428,0.16361,False,283,87.0,DLNP_87,Deep-layer near-projecting,NEUR,"Cerebral cortex: 83.9%, Basal forebrain: 12.2%, Hypothalamus: 2.8%"
Cluster457,COVAR,16231,6.3658,0.011299,6.6197,0.16813,False,284,457.0,Thex_457,Thalamic excitatory,NEUR,"Thalamus: 98.3%, Amygdala: 1.4%, Cerebral cortex: 0.3%"
Cluster340,COVAR,16231,5.0867,0.011086,5.3261,0.16979,False,285,340.0,Splat_340,Splatter,NEUR,"Pons: 88.3%, Midbrain: 9.5%, Thalamus: 1.6%"
Cluster351,COVAR,16231,6.09,0.010874,6.465,0.17311,False,286,351.0,Splat_351,Splatter,NEUR,"Midbrain: 90.0%, Thalamus: 8.2%, Hypothalamus: 1.3%"
Cluster214,COVAR,16231,6.9307,0.011039,7.3648,0.17335,False,287,214.0,MSN_214,Medium spiny neuron,NEUR,"Basal forebrain: 61.9%, Amygdala: 15.7%, Cerebral cortex: 13.3%"
Cluster446,COVAR,16231,5.3295,0.011014,5.6863,0.17432,False,288,446.0,Thex_446,Thalamic excitatory,,"Thalamus: 99.9%, Hippocampus: 0.0%, Midbrain: 0.0%"
Cluster339,COVAR,16231,6.3075,0.010838,6.7945,0.17663,False,289,339.0,Splat_339,Splatter,NEUR,"Pons: 99.4%, Medulla: 0.4%, Midbrain: 0.2%"
Cluster256,COVAR,16231,7.2961,0.010911,7.8641,0.17677,False,290,256.0,MGE_256,MGE interneuron,NEUR,"Cerebral cortex: 68.6%, Hippocampus: 21.8%, Basal forebrain: 5.0%"
Cluster327,COVAR,16231,6.5583,0.011158,7.2533,0.18296,False,291,327.0,Mmb_327,Mammillary body,NEUR,"Hypothalamus: 99.9%, Midbrain: 0.1%, Cerebral cortex: 0.0%"
Cluster345,COVAR,16231,3.8995,0.010805,4.3796,0.18665,False,292,345.0,Splat_345,Splatter,NEUR,"Medulla: 52.3%, Spinal cord: 35.4%, Midbrain: 6.8%"
Cluster180,COVAR,16231,4.7865,0.010812,5.3815,0.18689,False,293,180.0,CA13_180,Hippocampal CA1-3,NEUR,"Hippocampus: 99.6%, Cerebral cortex: 0.4%, Amygdala: 0.0%"
Cluster40,COVAR,16231,3.2342,0.0099393,3.774,0.19574,False,294,40.0,Oligo_40,Oligodendrocyte,OLIGO,"Hippocampus: 24.8%, Cerebral cortex: 23.4%, Amygdala: 10.0%"
Cluster443,COVAR,16231,5.3171,0.0098701,6.4575,0.20515,False,295,443.0,Midi_443,Midbrain-derived inhibitory,NEUR,"Thalamus: 98.3%, Midbrain: 1.6%, Pons: 0.1%"
Cluster161,COVAR,16231,4.6833,0.0095584,5.6889,0.20519,False,296,161.0,Amex_161,Amygdala excitatory,NEUR,"Amygdala: 66.2%, Cerebral cortex: 31.6%, Hippocampus: 1.3%"
