trait_key,trait_display,trait_category,VARIABLE,cluster_id_numeric,cluster_name,supercluster,class_auto,neurotransmitter,top_regions,top_dissections,top_genes,NGENES,BETA,BETA_STD,SE,P,log10_neg_P,bonferroni_significant,rank_within_trait,independent,independent_rank,cluster_id,n_cells
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster378,378,Splat_378,Splatter,NEUR,HDC VGLUT2,"Amygdala: 29.4%, Basal forebrain: 25.2%, Hypothalamus: 22.3%","Human BNST: 27.8%, Human ANC: 18.1%, Human SEP: 16.8%","ONECUT3, C14orf39, ONECUT1, MIR217HG, ISL1, VWA5B1, AC022433.1, AC092957.1, COL15A1, AC010478.1",16361,22.904,0.038483,4.9905,2.2409e-06,5.64957752339229,True,13,True,4.0,378,493.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster283,283,CGE_283,CGE interneuron,NEUR,GABA,"Cerebral cortex: 81.0%, Hippocampus: 9.3%, Amygdala: 5.0%","Human MTG: 5.2%, Human A32: 4.5%, Human MEC: 4.1%","CXCL14, AC004862.1, BAGE2, PCDH18, AL139090.1, AL356585.4, AL391832.4, SGO1-AS1, AC073316.1, KMO",16361,30.471,0.04158,6.6773,2.5386e-06,5.595405724285062,True,14,True,5.0,283,10636.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster273,273,LLC_273,LAMP5-LHX6 and Chandelier,NEUR,GABA,"Amygdala: 44.9%, Cerebral cortex: 33.4%, Hippocampus: 7.3%","Human BL: 11.5%, Human CEN: 9.9%, Human CMN: 9.0%","LINC01344, SFRP1, HAPLN1, CHRDL1, EYA4, ANO1, ADGRG6, TMEM255A, MYB, CHST9",16361,31.177,0.041667,6.8482,2.6718e-06,5.573196054485133,True,15,False,,273,3254.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster377,377,Splat_377,Splatter,NEUR,VGLUT2,"Hypothalamus: 33.0%, Amygdala: 32.4%, Thalamus: 31.4%","Human BNST: 32.1%, Human ANC: 30.6%, Human HTHpo: 14.3%","MIR217HG, AGTR1, ARHGAP36, DLK1, ONECUT3, LHX5-AS1, C14orf39, TFPI, CALCR, ONECUT1",16361,23.978,0.03917,5.3416,3.6075e-06,5.442793660234468,True,16,False,,377,1964.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster250,250,MGE_250,MGE interneuron,NEUR,GABA,"Cerebral cortex: 92.5%, Hippocampus: 2.4%, Basal forebrain: 2.2%","Human MEC: 7.1%, Human M1C: 7.0%, Human MTG: 5.6%","PROM1, NMU, ADGRG6, AC022905.1, KCNJ5, MCUB, PAWR, SST, SCARA5, AC113347.4",16361,24.508,0.041395,5.5244,4.6124e-06,5.336073036533475,True,17,True,6.0,250,16604.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster415,415,Splat_415,Splatter,NEUR,GABA VGLUT2,"Hypothalamus: 78.7%, Midbrain: 7.6%, Thalamus: 3.7%","Human HTHpo-HTHso: 30.8%, Human HTHso-HTHtub: 26.6%, Human HTHtub: 7.5%","AVP, ECEL1, ARHGAP36, C14orf39, HMX3, ISL1, SIX6, DIRAS3, PMCH, ZCCHC12",16361,22.919,0.038057,5.1771,4.8139e-06,5.317502935643721,True,18,True,7.0,415,25816.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster233,233,EMSN_233,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 73.7%, Thalamus: 9.5%, Hypothalamus: 5.8%","Human La: 23.4%, Human CEN: 17.3%, Human BNST: 12.8%","ZNF736P9Y, NPFFR2, GABRQ, NMBR, LMNTD1, PRSS35, FRMD7, PCDH11Y, CAPSL, LINC00354",16361,29.164,0.038833,6.6105,5.1641e-06,5.28700535644673,True,19,False,,233,3128.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster224,224,EMSN_224,Eccentric medium spiny neuron,NEUR,GABA,"Basal forebrain: 70.9%, Amygdala: 13.6%, Cerebral cortex: 8.2%","Human SI: 29.8%, Human NAC: 26.6%, Human BNST: 13.0%","SLC35D3, CASZ1, AL590867.1, AC022133.2, FBXL21P, AC022126.1, DRD1, LECT2, C6orf141, RXRG",16361,27.082,0.038322,6.1786,5.8895e-06,5.229921573881532,True,20,False,,224,4297.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster226,226,EMSN_226,Eccentric medium spiny neuron,NEUR,GABA,"Basal forebrain: 33.6%, Amygdala: 33.3%, Hypothalamus: 19.3%","Human SI: 25.6%, Human BNST: 15.8%, Human HTHpo: 14.4%","NPFFR2, OTOF, GDNF-AS1, PDYN, ZNF736P9Y, DRD1, LINC01550, FBXL21P, AC034226.1, GFRA1",16361,27.066,0.037364,6.2667,7.8897e-06,5.102939510202696,True,21,False,,226,5927.0
chronotype_loh2018_ukb,Chronotype,sleep / brain-direct,Cluster231,231,EMSN_231,Eccentric medium spiny neuron,NEUR,GABA,"Amygdala: 60.2%, Basal forebrain: 16.4%, Cerebral cortex: 13.7%","Human CMN: 15.9%, Human CEN: 12.8%, Human SI: 11.6%","LMNTD1, NPFFR2, AC012078.2, ZNF736P9Y, GABRQ, EYA2, PCDH11Y, CAPSL, DRAXIN, ITGA6",16361,28.489,0.037961,6.6071,8.1496e-06,5.088863706849706,True,22,False,,231,2372.0
