symbol,specificity,ZSTAT,P,score
KCNS1,0.0468340595721003,3.2812,0.0005168,0.15367191626797552
PCSK1,0.0203333041993185,7.4899,3.4472e-14,0.15229441512247563
HCRTR1,0.022683219538693,5.9073,1.7392e-09,0.13399658278092116
DPP4,0.0415276816370393,3.173,0.00075446,0.1317673338343257
GLP2R,0.0230828284189336,5.3749,3.8319e-08,0.1240678944689262
LRRC10,0.0804752467564092,1.4182,0.07807,0.11412999494993951
MIP,0.0177452395844176,5.7796,3.7447e-09,0.10256038670209996
SHISA3,0.0264810188680739,3.6493,0.00013145,0.09663718215526208
ZC3H10,0.013971307766033,6.6406,1.5617e-11,0.09277786635111873
EGR1,0.0187328439972694,4.3426,7.0387e-06,0.0813492483425421
HABP2,0.0381013066247469,2.104,0.017687,0.08016514913846748
POU6F2,0.0107646678030929,6.9447,1.8968e-12,0.07475738849213927
CD53,0.0283863502800569,2.5411,0.0055246,0.07213255469665258
GPR21,0.0275547080950084,2.6089,0.0045411,0.07188747794906743
CCK,0.0104205525831219,6.1926,2.9596e-10,0.06453031392624067
ORAI3,0.0096357234513085,6.6872,1.1374e-11,0.0644360098635902
PPL,0.0086184526540884,7.3245,1.199e-13,0.06312585646487048
TSHZ2,0.0093936383451798,6.4829,4.4992e-11,0.06089801802796613
PAPL,0.0190263849034415,3.0911,0.00099711,0.058812458375028014
HTR1F,0.0135654566553993,4.1764,1.4811e-05,0.05665477317560964
RBM12,0.0179400802329606,3.1456,0.00082874,0.05643231638080086
MAP6D1,0.0097929359298105,5.6047,1.0433e-08,0.05488646800580892
FAM122A,0.0367596461555836,1.4817,0.069216,0.05446676770872822
GCNT4,0.0088526899766182,6.1094,5e-10,0.05408462414315123
FGF10,0.0200493668567685,2.608,0.0045531,0.05228874876245225
