symbol,specificity,ZSTAT,P
LOC100131107,0.1504317158750755,0.84909,0.19791
LCE1D,0.0750009732657447,1.0724,0.14177
SPACA5B,0.0745926747364114,,
MC3R,0.0572985425494475,-1.6452,0.95004
NDNF,0.0547827988006464,0.42123,0.33679
NPBWR1,0.0547599460349633,0.26915,0.39391
CXCL14,0.047245894824395,1.5954,0.055311
NR2E1,0.0466803338959837,1.581,0.056937
NMBR,0.043767171925516,0.81092,0.2087
HOXC12,0.0398201947594567,1.3122,0.094722
AVPR1A,0.0362158469098642,0.38372,0.35059
CBLC,0.0353199564300101,2.1198,0.017012
C8orf4,0.0348897306520155,0.30974,0.37838
TRPM5,0.033797231478646,1.7649,0.038792
GAGE12H,0.0325628692286873,,
BMP2,0.0314811777275332,2.0052,0.02247
TCP11X1,0.0296681447052285,,
MAGEB4,0.0275664932782717,,
SLC25A48,0.0264581656841192,2.7092,0.0033728
PRLHR,0.025184282195314,3.7394,9.2225e-05
DPPA5,0.0243381491079403,0.058098,0.47684
RELN,0.0240762443685782,6.9245,2.1877e-12
TNNI3,0.0236054998785292,0.63625,0.26231
KMO,0.0232252773790259,1.391,0.082113
ADRA1D,0.023153152288506,3.9094,4.6257e-05
