symbol,specificity,ZSTAT,P,score
NMU,0.0624526291363048,3.5318,0.00020637,0.2205701955836013
CYP26A1,0.0529467443447208,3.3705,0.00037512,0.17845700181388144
PDCL2,0.064773111508521,2.7287,0.0031789,0.17674638937330123
KRTAP22-2,0.1194551492556998,1.4066,0.079778,0.16802561294306737
PNOC,0.0281057322764787,5.1843,1.0843e-07,0.14570854784094853
NUGGC,0.0467417346082823,2.8494,0.0021898,0.13318589859283958
PCDHGC4,0.0252584945280544,5.2569,7.3243e-08,0.13278137988452918
KRTAP13-2,0.0974660644073365,1.1478,0.12552,0.11187154872674084
NPAS1,0.0166778558576156,6.4892,4.3157e-11,0.10822594223123914
PPP3R2,0.0254655467572658,4.0859,2.1955e-05,0.10404967749551233
KRTAP6-1,0.077382279680359,1.3328,0.091291,0.10313510235798248
KRTAP19-7,0.0743739295683756,1.339,0.09029,0.09958669169205493
ADGRG6,0.0214449806133175,4.6015,2.0972e-06,0.09867907829218046
KRTAP6-2,0.0695684397142161,1.3582,0.0872,0.09448785481984831
RELN,0.0134408772876845,6.9245,2.1877e-12,0.09307135477857133
PROK1,0.0314632990020011,2.7358,0.0031112,0.0860772934096746
MAFB,0.031683311024998,2.6918,0.0035535,0.08528513661708963
POU3F3,0.0116718509837883,7.2579,1.9656e-13,0.08471312725523711
KRTAP20-3,0.0614064078287899,1.3731,0.084857,0.08431713858971142
GRIN3A,0.0134226290038263,6.0265,8.3783e-10,0.0808914736915592
FLT3,0.0123887305899819,6.1094,5e-10,0.07568771066643543
ADRA2A,0.030069853774176,2.4264,0.0076237,0.07296149319766065
KCNJ5,0.0354170650483738,1.9735,0.02422,0.0698955778729657
CDH13,0.0089404013482665,7.7906,3.3352e-15,0.06965109074380499
URAD,0.0118087660968573,5.6541,7.8321e-09,0.06676794438824085
