symbol,specificity,ZSTAT,P
ADAM20,0.2892823789311909,2.0934,0.018155
LOC149373,0.2642339381971176,2.8797,0.00199
OR56A5,0.2260124145832976,0.40766,0.34176
PRSS33,0.2091992038728437,3.1509,0.00081373
OR6N2,0.1680153979151121,0.74915,0.22688
IL22,0.1584179039149061,0.1939,0.42313
RNF223,0.1324853702543169,1.4198,0.077827
IL37,0.1070155221456399,2.9225,0.0017359
OR2AP1,0.0964853686307843,0.36581,0.35725
PRAMEF20,0.0963764055578274,,
LBX1,0.0897216129150113,3.0765,0.0010474
SCGN,0.0833047243714655,3.5762,0.00017431
SLN,0.0825722773776852,2.7193,0.0032708
BSPH1,0.0784974516765727,1.4197,0.077851
EN2,0.0711597127160195,1.8377,0.033053
VHLL,0.0666734007920794,0.95922,0.16872
NEUROG2,0.0650125973839509,2.5586,0.0052546
TFAP2B,0.0648895614666262,6.1094,5e-10
DCD,0.0646791722506232,1.1677,0.12147
LRRC38,0.0602311799588268,-1.7725,0.96184
MIP,0.0595651287622773,5.7796,3.7447e-09
C11orf94,0.0568214955621361,1.4456,0.074142
HOMER3,0.0535949490643017,1.8453,0.032497
LIPG,0.0533406494605883,1.6805,0.046431
NCCRP1,0.0511962139875478,1.2558,0.10459
