symbol,specificity,ZSTAT,P
FGFBP1,0.1974522597878725,0.60513,0.27255
TCP11X1,0.1207413822555336,,
UGT2B28,0.0892946669516035,-0.62782,0.73494
LHX8,0.0625918838837804,4.5648,2.4993e-06
FGF19,0.0565247067150864,4.9864,3.0756e-07
KDM4E,0.0478533009299906,4.0357,2.7226e-05
KRTAP22-2,0.0453516691467983,1.4066,0.079778
PRR9,0.0434821925419005,0.034417,0.48627
PAPOLB,0.040127008361558,0.70665,0.23989
ZAR1,0.0388740791119979,1.8209,0.034312
PRDM12,0.0357403789560682,2.1087,0.017486
FREM2,0.0287850392585583,0.3273,0.37172
FAM159B,0.025328623954997,6.8563,3.5338e-12
OR5A2,0.0248196681792152,-0.7827,0.7831
NMS,0.0238721524369851,0.43215,0.33282
SP8,0.0228115875457775,2.7895,0.0026396
MC3R,0.020898959982228,-1.6452,0.95004
OR4F6,0.020243017260871,-1.0296,0.8484
SPRR2F,0.020223864046586,-0.85475,0.80366
FGF3,0.0201193165411793,2.6691,0.0038029
GAGE1,0.019165034768642,,
TSPO2,0.0187554621021741,5.1054,1.6502e-07
KCNU1,0.017837205857875,-0.1342,0.55338
PF4,0.0168918525396881,0.2238,0.41145
KLF14,0.0165367034788579,6.4343,6.2026e-11
