symbol,specificity,ZSTAT,P,score
LHX8,0.0625918838837804,4.5648,2.4993e-06,0.28571943155268076
FGF19,0.0565247067150864,4.9864,3.0756e-07,0.2818547975641068
KDM4E,0.0478533009299906,4.0357,2.7226e-05,0.19312156656316307
FAM159B,0.025328623954997,6.8563,3.5338e-12,0.17366064442264592
FGFBP1,0.1974522597878725,0.60513,0.27255,0.11948428596543528
KLF14,0.0165367034788579,6.4343,6.2026e-11,0.1064021111940154
TSPO2,0.0187554621021741,5.1054,1.6502e-07,0.09575413621643966
L1TD1,0.0114296010045566,7.5856,1.6542e-14,0.08670038138016455
C16orf90,0.0137332296426382,5.7491,4.4854e-09,0.07895371053849128
PRDM12,0.0357403789560682,2.1087,0.017486,0.075365737104661
ISL1,0.0127964160022183,5.7393,4.7548e-09,0.0734424703615315
SP9,0.0139877038246027,5.1849,1.0808e-07,0.07252484556018253
UNC5CL,0.0133279427112405,5.4026,3.2843e-08,0.07200554329174792
ZAR1,0.0388740791119979,1.8209,0.034312,0.07078581065503697
SCN5A,0.0131030827526987,5.1154,1.5653e-07,0.06702750951315493
DDC,0.0122045169653693,5.4409,2.6512e-08,0.06640355635687782
PAX6,0.0121015604217096,5.442,2.634e-08,0.06585669181494365
KRTAP22-2,0.0453516691467983,1.4066,0.079778,0.06379165782188649
SP8,0.0228115875457775,2.7895,0.0026396,0.06363292345894633
ITGB3,0.0130753534341283,4.7292,1.1269e-06,0.06183596146067955
CRACR2B,0.0079200483819308,7.4182,5.9341e-14,0.05875250290683906
SLC17A4,0.0095671733575013,5.8473,2.4985e-09,0.055942132773317346
SCGN,0.0153047523002054,3.5762,0.00017431,0.05473285517599455
FGF3,0.0201193165411793,2.6691,0.0038029,0.05370046778006167
PRKCD,0.0074993136814634,6.1306,4.3767e-10,0.04597529245557952
