symbol,specificity,ZSTAT,P
FOXB2,0.169805520934453,0.39207,0.3475
PAPOLB,0.1096325330402039,0.70665,0.23989
SIM1,0.0983907383401829,6.1163,4.7885e-10
OR11L1,0.0965978864623184,-0.77759,0.78159
OR10V1,0.0788471812497229,-1.0609,0.85562
C20orf173,0.0716506087172762,0.88065,0.18925
FOXB1,0.0621018928497012,0.85317,0.19678
PITX2,0.0609425453859969,4.4302,4.7066e-06
PRR9,0.059399679980595,0.034417,0.48627
DEFB127,0.056495559413194,0.76921,0.22088
TSPO2,0.0512425147689495,5.1054,1.6502e-07
OTOS,0.0482558714098893,-0.32926,0.62902
KLF14,0.0451805595420061,6.4343,6.2026e-11
FAM170A,0.0329800987156324,2.3367,0.0097282
IL20,0.0327275894439456,0.98058,0.1634
SFTA3,0.0317736833648047,1.5384,0.061971
IQCF5,0.0308771909715721,2.4905,0.0063789
CXorf66,0.0289295558543881,,
CLDN8,0.0287020340894523,2.0153,0.021935
PRR23A,0.0267742983452825,2.1004,0.017847
ENTHD1,0.0251309664548437,0.09348,0.46276
TAS2R4,0.0248616763032293,-1.5701,0.9418
LOC100996335,0.0245707606902058,,
LAD1,0.0221929547284857,-0.5292,0.70167
BOD1L2,0.0221360918107509,3.4351,0.00029618
