symbol,specificity,ZSTAT,P
OR10T2,1.0,2.7818,0.002703
CBLN3,0.2112490415953848,0.21852,0.41351
CDH15,0.2079788863536842,3.7342,9.4172e-05
SLC22A31,0.1757872455913847,2.635,0.0042073
PRR35,0.1575874264748137,1.6352,0.051007
FGF3,0.1546733113768695,2.6691,0.0038029
HAND2,0.132599341236774,-0.12366,0.54921
RHBG,0.1282852541789932,1.9852,0.02356
NEUROD1,0.1169633015241634,2.386,0.0085175
C5orf46,0.1158325639767356,2.1235,0.016857
CRTAM,0.0986148756033016,3.6714,0.00012062
BARHL2,0.0832313410964605,3.9831,3.4013e-05
LCN8,0.0766635856042199,0.08882,0.46461
OR2G3,0.0703382729757623,1.8563,0.031707
MTNR1A,0.0701417399643067,-0.1978,0.5784
TLX3,0.0689836721113058,6.0954,5.4596e-10
GALNT5,0.0688052490217709,3.5806,0.00017141
FAT2,0.0677834354627065,-0.43638,0.66872
CDC42BPG,0.0629812616864656,2.9955,0.0013699
EN2,0.0602288894706585,1.8377,0.033053
CA9,0.0581742508644364,3.737,9.313e-05
OR2G2,0.0574354719480217,1.5757,0.057553
CBLN1,0.0561372460266975,1.8027,0.035717
CNPY1,0.0546803222440935,1.4271,0.076774
PAPL,0.0525086925077436,3.0911,0.00099711
