symbol,specificity,ZSTAT,P
C16orf90,0.2893865561299996,5.7491,4.4854e-09
FOXD3,0.2829509920767326,0.74622,0.22777
BARX1,0.173425436532617,3.6859,0.00011394
HOXC6,0.1294642652478604,1.2053,0.11405
HMX3,0.102018251498826,-0.04525,0.51805
HMX2,0.0961507445850332,3.1296,0.00087516
POU4F3,0.0749828102542023,1.9958,0.022977
OR5B3,0.0707773422058798,0.65897,0.25496
POU4F1,0.0700244493141416,4.0858,2.1959e-05
AVPR1A,0.0671542826249231,0.38372,0.35059
POU4F2,0.0662970940135275,4.3612,6.4672e-06
HOXA4,0.0624604805158522,4.6909,1.3603e-06
NPY4R,0.0611498066412715,,
KLF14,0.0580768907971935,6.4343,6.2026e-11
HOXA5,0.0540475999597542,4.9215,4.2942e-07
TACR3,0.0500116827781227,1.6024,0.054539
HOXC4,0.0464443152288735,1.8043,0.035592
HOXD4,0.0462731383574612,1.7745,0.037987
HOXA3,0.0435230687797731,4.6556,1.6149e-06
HOXB3,0.0422823210162332,5.603,1.0534e-08
AKR1B10,0.0404436967782542,-0.75946,0.77621
MRGPRX2,0.0371756072168589,-1.0795,0.85981
HOXD3,0.0352494101317241,2.2657,0.011736
GSTA2,0.0342133582204632,-0.024339,0.50971
LIPM,0.0341306640334362,1.2497,0.10571
