symbol,specificity,ZSTAT,P,score
TSPO2,0.0196834542968168,5.1054,1.6502e-07,0.10049190756696849
SCN5A,0.0183868167702047,5.1154,1.5653e-07,0.09405592250630512
KLF14,0.0132619389402425,6.4343,6.2026e-11,0.08533129372320232
PAX6,0.0150465002351852,5.442,2.634e-08,0.08188305427987787
HTR1D,0.0191332135347768,3.5923,0.00016388,0.06873224298097869
NOX3,0.0255479731013287,2.6777,0.0037066,0.06840980757342786
DBX2,0.0347020456981996,1.919,0.027492,0.06659322569484503
SP9,0.0127662277265516,5.1849,1.0808e-07,0.06619161413939739
KRT14,0.0375265654523067,1.7551,0.039625,0.06586287502534349
FOXP2,0.0099776746196162,6.0632,6.6735e-10,0.06049663675365694
METTL7B,0.0155337737044063,3.7903,7.5237e-05,0.05887766247181119
EYA2,0.0100500474833153,5.5068,1.8274e-08,0.0553436014811207
GPR88,0.0166976195951702,3.1354,0.0008582,0.05235371647869665
GFRA3,0.0085907219971118,5.8567,2.3608e-09,0.05031328152048468
SIX3,0.015532859260356,3.1544,0.00080401,0.04899685125086697
ADAM20,0.0230745863916424,2.0934,0.018155,0.048304339152264196
EPHA3,0.0091254229362758,5.2,9.9646e-08,0.04745219926863416
C3orf56,0.0135129546844001,3.3534,0.00039911,0.045314342238667295
ERBB4,0.0057529873010686,7.6541,9.7331e-15,0.04403394010110917
FLRT1,0.0069989905267733,6.2514,2.0338e-10,0.043753489379070615
CDH22,0.0066443683113978,6.5219,3.4701e-11,0.04333390569010531
MAML3,0.0049165307311134,8.4939,9.9932e-18,0.04176052037700411
OTOF,0.0123437747205646,3.3816,0.00036035,0.04174170859506125
HACD2,0.0068107439171304,5.9547,1.3028e-09,0.04055593680333639
AMHR2,0.0074731178653262,5.3461,4.4942e-08,0.0399520354198204
