symbol,specificity,ZSTAT,P,score
OR10T2,1.0,2.7818,0.002703,2.7818
CDH15,0.2079788863536842,3.7342,9.4172e-05,0.7766347574219276
SLC22A31,0.1757872455913847,2.635,0.0042073,0.46319939213329864
TLX3,0.0689836721113058,6.0954,5.4596e-10,0.4204830749872533
FGF3,0.1546733113768695,2.6691,0.0038029,0.4128385353960023
CRTAM,0.0986148756033016,3.6714,0.00012062,0.3620546542899615
BARHL2,0.0832313410964605,3.9831,3.4013e-05,0.3315187547213118
NEUROD1,0.1169633015241634,2.386,0.0085175,0.2790744374366539
PRR35,0.1575874264748137,1.6352,0.051007,0.2576869597716153
RHBG,0.1282852541789932,1.9852,0.02356,0.2546718865961373
GALNT5,0.0688052490217709,3.5806,0.00017141,0.2463640746473529
C5orf46,0.1158325639767356,2.1235,0.016857,0.24597044960459802
CA9,0.0581742508644364,3.737,9.313e-05,0.21739717548039883
TRIM72,0.0307417395814161,6.56,2.6907e-11,0.20166581165408962
CDC42BPG,0.0629812616864656,2.9955,0.0013699,0.1886603693818077
RELN,0.0253780869549579,6.9245,2.1877e-12,0.17573056311960597
PAX6,0.0298526254625159,5.442,2.634e-08,0.16245798776701154
PAPL,0.0525086925077436,3.0911,0.00099711,0.16230961941068625
LMAN1L,0.0322145002342693,4.7346,1.0975e-06,0.15252277280917143
VSX1,0.0260952261047197,5.7356,4.8593e-09,0.1496717788462303
COMP,0.0279782473643364,5.1195,1.5317e-07,0.1432346373817202
SHISA8,0.0273302972038758,5.0166,2.6302e-07,0.13710516895296335
KCNJ12,0.0170311432453191,7.8215,2.609e-15,0.13320908689326336
CADPS2,0.0209640381579888,6.3275,1.2455e-10,0.13264995144467412
OR2G3,0.0703382729757623,1.8563,0.031707,0.13056893612490755
