symbol,specificity,ZSTAT,P,score
INS,0.2033738478434825,5.6717,7.0684e-09,1.1534754528138798
OXT,0.1946018643385587,3.5692,0.00017906,0.6945729741971837
SIM1,0.0856498869745533,6.1163,4.7885e-10,0.5238604037024603
TH,0.076239137248879,5.7341,4.9026e-09,0.43716283689879704
FEZF1,0.0727527232636463,5.7973,3.3702e-09,0.42176936257633674
RNF133,0.3229367593638356,1.2641,0.1031,0.40822435751182456
LCE2A,0.3228296266627952,1.1364,0.12789,0.3668635877396005
C10orf62,0.1483778683955505,1.7289,0.04191,0.2565304966690673
KRT79,0.1368122740444441,1.8056,0.035494,0.24702824201464826
CPA4,0.0643681133548573,3.8349,6.2812e-05,0.24684527790454228
PPY,0.2247688188058086,0.94607,0.17206,0.21264703640761132
QRFP,0.0302654197642214,6.6578,1.3895e-11,0.20150111170623322
AGTR1,0.0613734577536961,3.1432,0.0008356,0.1929090524114176
GLP1R,0.0430156421594596,4.1778,1.4719e-05,0.17971074981379032
KLF14,0.0273810525194397,6.4343,6.2026e-11,0.17617790622583088
ITGB3,0.034251724654319,4.7292,1.1269e-06,0.1619832562352054
KRT77,0.0718864163136174,2.2442,0.012409,0.16132749549102018
OR10K2,0.05564547061525,2.8855,0.0019539,0.16056500546030386
SLC17A4,0.0267969225418135,5.8473,2.4985e-09,0.1566896451787461
DLK1,0.0246021789059471,5.9803,1.1134e-09,0.14712841051123543
PCSK1,0.0170413806548165,7.4899,3.4472e-14,0.1276382369665101
SCGN,0.0352103341959597,3.5762,0.00017431,0.12591919715159108
LOC388849,0.0254544357169405,4.8666,5.6762e-07,0.12387655686006264
CCKAR,0.0278240240415827,4.4448,4.3996e-06,0.12367222206002677
GALR2,0.10329772120559,1.17,0.12099,0.12085833381054029
