symbol,specificity,ZSTAT,P
KRTAP26-1,0.6117735902642738,1.5591,0.059487
DMBX1,0.0914247563859052,1.419,0.077954
KRTAP24-1,0.0843255867617526,2.0917,0.018231
GCG,0.0781547679657369,1.9484,0.025681
PRL,0.0640488870613637,-1.26,0.89616
RNASE11,0.0579529947363033,1.5912,0.055781
UGT2B4,0.0573300954537213,0.89155,0.18632
SOX14,0.0534580999930846,1.4365,0.075429
PRR20C,0.053297778936407,1.2812,0.10006
KRTAP13-4,0.0410579687854514,0.80122,0.2115
GATA3,0.0395889228212471,2.4968,0.0062667
F11,0.037998950189899,0.16073,0.43615
CASR,0.0374585285616152,2.5596,0.005239
OTX2,0.0362230414634113,-0.88365,0.81156
TMSB15A,0.0335948976957726,,
RD3L,0.0333992547032615,1.1165,0.1321
LPO,0.0324888812859804,-0.026216,0.51046
CYP2A7,0.0320531631923584,0.8531,0.1968
CPLX3,0.0275706314906775,5.5118,1.7763e-08
PRSS12,0.0274265072481199,3.536,0.0002031
SHISA8,0.027028212487605,5.0166,2.6302e-07
C1orf127,0.0265320415046297,2.9622,0.0015272
MTNR1B,0.026378398917448,3.6987,0.00010836
TMEM215,0.0262897510761788,1.1653,0.12194
UNCX,0.0255024368483253,3.5781,0.00017307
