symbol,specificity,ZSTAT,P,score
CALCR,0.0227325951443742,7.2944,1.5005e-13,0.16582064202112318
POTEC,0.3494948492982095,0.37038,0.35555,0.12944590228307085
IRX1,0.0200400966730051,6.1095,4.9964e-10,0.12243497062372465
OTX1,0.0228215936419501,5.0592,2.1055e-07,0.11545900655335394
PDZK1IP1,0.0132630988762321,7.6995,6.8279e-15,0.10211922979754905
HCRTR1,0.0167399696976332,5.9073,1.7392e-09,0.09888802299482861
RXFP4,0.0211703093905613,4.5494,2.6902e-06,0.09631220554141959
KRTAP19-8,0.0335777106478903,2.7514,0.0029667,0.09238571307660537
CRISP1,0.0234982791407189,3.8748,5.3358e-05,0.0910511320144576
LMO1,0.0183933878848979,4.7593,9.7126e-07,0.08753965096059456
FOXN1,0.0272145454205578,3.0324,0.0012129,0.08252538753329947
LDHAL6B,0.0149283303490588,5.4913,1.9944e-08,0.08197594044578659
TAL1,0.0090744923928304,7.911,1.2768e-15,0.07178830931968129
GATA3,0.0266199679037518,2.4968,0.0062667,0.0664647358620875
GLP1R,0.0152528866093218,4.1778,1.4719e-05,0.06372350967642462
CLEC3A,0.033014741407813,1.8186,0.034486,0.06004060872424872
POMC,0.0069218848595435,8.1259,2.2204e-16,0.056246544180164525
PNOC,0.0106947357212907,5.1843,1.0843e-07,0.05544471839988738
PYDC1,0.0089591529446441,6.0956,5.4504e-10,0.05461141268937258
XCR1,0.0162660228978216,3.1549,0.00080277,0.05131767564033737
DEFB112,0.0111638437629546,4.3153,7.9695e-06,0.048175334990277985
CYP1A2,0.008735922532075,5.48,2.1271e-08,0.047872855475771005
ZNF581,0.0108948686956553,4.3778,5.9951e-06,0.047695556175839766
MIP,0.0082288705818705,5.7796,3.7447e-09,0.04755958041497875
IRX5,0.0179949832108177,2.605,0.0045943,0.046876931264180105
