symbol,specificity,ZSTAT,P
POTEC,0.3494948492982095,0.37038,0.35555
NPS,0.19995406609218,-0.078878,0.53144
POTED,0.1255122613031061,,
TAS2R4,0.0661603025421033,-1.5701,0.9418
PAGE1,0.0530439600212713,,
REG1A,0.0359830313991756,-0.60496,0.7274
KRTAP19-8,0.0335777106478903,2.7514,0.0029667
CLEC3A,0.033014741407813,1.8186,0.034486
LENEP,0.0317322920703689,0.90495,0.18275
PF4,0.0307034396280346,0.2238,0.41145
FOXN1,0.0272145454205578,3.0324,0.0012129
GATA3,0.0266199679037518,2.4968,0.0062667
SSX1,0.0264697694633587,,
TRPM8,0.0263004279992124,-0.29122,0.61456
GATA2,0.0239178021384489,1.0768,0.14078
CLRN2,0.0238507520059942,1.7,0.04457
PSMB11,0.0238353176400126,0.55556,0.28926
IRX2,0.0235823529519968,-1.0541,0.85407
CRISP1,0.0234982791407189,3.8748,5.3358e-05
OTX1,0.0228215936419501,5.0592,2.1055e-07
CALCR,0.0227325951443742,7.2944,1.5005e-13
SPATA8,0.0220147031480495,0.61838,0.26816
RXFP4,0.0211703093905613,4.5494,2.6902e-06
CRISP2,0.0207556351340764,1.0897,0.13792
IRX1,0.0200400966730051,6.1095,4.9964e-10
