symbol,specificity,ZSTAT,P,score
C16orf90,0.2893865561299996,5.7491,4.4854e-09,1.6637122498469807
BARX1,0.173425436532617,3.6859,0.00011394,0.6392288165155731
KLF14,0.0580768907971935,6.4343,6.2026e-11,0.37368413845638215
HMX2,0.0961507445850332,3.1296,0.00087516,0.3009133702533199
HOXA4,0.0624604805158522,4.6909,1.3603e-06,0.2929958680518111
POU4F2,0.0662970940135275,4.3612,6.4672e-06,0.28913488641179613
POU4F1,0.0700244493141416,4.0858,2.1959e-05,0.28610589500771977
HOXA5,0.0540475999597542,4.9215,4.2942e-07,0.2659952632019303
HOXB3,0.0422823210162332,5.603,1.0534e-08,0.23690784465395462
FOXD3,0.2829509920767326,0.74622,0.22777,0.21114368930749938
HOXA3,0.0435230687797731,4.6556,1.6149e-06,0.2026259990111116
HOXC6,0.1294642652478604,1.2053,0.11405,0.15604327890324612
POU4F3,0.0749828102542023,1.9958,0.022977,0.14965069270533693
INS,0.0263135868188446,5.6717,7.0684e-09,0.14924277036044092
INSC,0.0295098652533804,4.1291,1.8207e-05,0.12184918461773302
HOXB5,0.0201583162975091,5.7153,5.4756e-09,0.11521082513515375
HOXA2,0.0232845686639779,4.2949,8.7394e-06,0.10000489395491868
HOXB7,0.0173988458244767,5.1571,1.2541e-07,0.08972758780140878
HOXC4,0.0464443152288735,1.8043,0.035592,0.08379947796745646
HOXB2,0.0184065815249681,4.5506,2.6741e-06,0.08376098988751983
HOXD4,0.0462731383574612,1.7745,0.037987,0.08211168401531489
TACR3,0.0500116827781227,1.6024,0.054539,0.08013872048366381
HOXD3,0.0352494101317241,2.2657,0.011736,0.07986458853544728
CALML6,0.0100191551102646,7.8778,1.6653e-15,0.07892890012764246
DCAF4L2,0.0193108648379885,3.6509,0.00013065,0.07050203643701221
