symbol,specificity,ZSTAT,P
LRRC10,0.0804752467564092,1.4182,0.07807
GPR148,0.0692959674105026,0.010816,0.49568
DSG3,0.063248282090563,-0.41105,0.65948
KCNS1,0.0468340595721003,3.2812,0.0005168
DPP4,0.0415276816370393,3.173,0.00075446
HABP2,0.0381013066247469,2.104,0.017687
MAGEB1,0.0368030646791069,,
FAM122A,0.0367596461555836,1.4817,0.069216
VIPR2,0.0293959833721972,1.3835,0.083258
CD53,0.0283863502800569,2.5411,0.0055246
GPR21,0.0275547080950084,2.6089,0.0045411
SHISA3,0.0264810188680739,3.6493,0.00013145
TACSTD2,0.0240348311675975,1.2666,0.10265
SPINK2,0.0235551448650041,0.81816,0.20663
GLP2R,0.0230828284189336,5.3749,3.8319e-08
HCRTR1,0.022683219538693,5.9073,1.7392e-09
TESPA1,0.0226229136124996,1.8483,0.032282
NEUROD6,0.0225374400927064,0.84229,0.19981
FAM50B,0.0223093462905975,1.0026,0.15804
MMP27,0.0221044965291201,1.3787,0.083992
PTTG1,0.0207408310350918,0.98548,0.16219
PCSK1,0.0203333041993185,7.4899,3.4472e-14
MSC,0.0202322094813136,-0.62266,0.73325
FGF10,0.0200493668567685,2.608,0.0045531
PAPL,0.0190263849034415,3.0911,0.00099711
