symbol,specificity,ZSTAT,P,score
SIM1,0.0983907383401829,6.1163,4.7885e-10,0.6017872729100606
KLF14,0.0451805595420061,6.4343,6.2026e-11,0.29070527426112985
PITX2,0.0609425453859969,4.4302,4.7066e-06,0.2699876645690435
TSPO2,0.0512425147689495,5.1054,1.6502e-07,0.2616135349013948
CCDC68,0.0177125256095762,6.1232,4.5845e-10,0.10845733681255697
PAPOLB,0.1096325330402039,0.70665,0.23989,0.07747182947286009
FAM170A,0.0329800987156324,2.3367,0.0097282,0.07706459666881822
IQCF5,0.0308771909715721,2.4905,0.0063789,0.07689964411470031
BOD1L2,0.0221360918107509,3.4351,0.00029618,0.07603968897911041
CCKAR,0.0170776749033689,4.4448,4.3996e-06,0.0759068494104941
DAPL1,0.0176211108538777,4.2907,8.9065e-06,0.07560690034073306
SHISA3,0.0201574229793297,3.6493,0.00013145,0.07356048367846788
RXFP4,0.0159107307277624,4.5494,2.6902e-06,0.07238427837288226
GPR149,0.0127097864978604,5.5551,1.3873e-08,0.07060413497426431
IL31,0.0090026282816872,7.7104,6.2728e-15,0.06941386510312099
FOXB2,0.169805520934453,0.39207,0.3475,0.06657565059277099
ZC3H10,0.0097384164111985,6.6406,1.5617e-11,0.06466892802020476
KLF1,0.0107141326191419,5.9098,1.7122e-09,0.0633183809526048
PAPPA,0.0118042070643336,5.3542,4.2957e-08,0.06320208546385496
C20orf173,0.0716506087172762,0.88065,0.18925,0.06309910856686929
BDNF,0.010152182472797,6.1094,5e-10,0.06202374359930599
CLDN8,0.0287020340894523,2.0153,0.021935,0.057843209300473215
CPA5,0.0123486759142025,4.6737,1.4791e-06,0.05771400662020823
NXPH4,0.0139282355373011,4.0505,2.5555e-05,0.056416318043838114
PRR23A,0.0267742983452825,2.1004,0.017847,0.05623673624443136
