symbol,specificity,ZSTAT,P,score
KRTAP26-1,0.6117735902642738,1.5591,0.059487,0.9538162045810292
KRTAP24-1,0.0843255867617526,2.0917,0.018231,0.17638382982955791
GCG,0.0781547679657369,1.9484,0.025681,0.15227674990444176
CPLX3,0.0275706314906775,5.5118,1.7763e-08,0.15196380665031625
SHISA8,0.027028212487605,5.0166,2.6302e-07,0.13558973076531927
DMBX1,0.0914247563859052,1.419,0.077954,0.1297317293115995
KIT,0.0202142902183253,6.1094,5e-10,0.1234971846598366
LMO1,0.0245393172534298,4.7593,9.7126e-07,0.11678997260424843
ASIC4,0.0231745876992722,4.6648,1.5445e-06,0.10810481669956494
TAL1,0.0134152001944127,7.911,1.2768e-15,0.10612764873799886
GNAT1,0.0125968411136497,7.9726,7.7716e-16,0.10042957546268359
CPA6,0.0250708920572918,3.9441,4.0051e-05,0.0988821053631646
GATA3,0.0395889228212471,2.4968,0.0062667,0.09884562250008974
MTNR1B,0.026378398917448,3.6987,0.00010836,0.09756578407596492
PRSS12,0.0274265072481199,3.536,0.0002031,0.09698012962935196
SP5,0.018591217099905,5.1783,1.1195e-07,0.09627089950843808
CASR,0.0374585285616152,2.5596,0.005239,0.09587884970631026
RNASE11,0.0579529947363033,1.5912,0.055781,0.0922148052244058
UNCX,0.0255024368483253,3.5781,0.00017307,0.09125026928699276
C1orf127,0.0265320415046297,2.9622,0.0015272,0.0785932133450141
SPHKAP,0.0105633733871546,7.4214,5.7954e-14,0.07839501925542915
GABRR2,0.021292764765935,3.655,0.0001286,0.07782505521949243
SOX14,0.0534580999930846,1.4365,0.075429,0.07679256064006604
SLC22A12,0.010298785398466,6.6641,1.3317e-11,0.06863213577391727
PRR20C,0.053297778936407,1.2812,0.10006,0.06828511437332464
