symbol,specificity,ZSTAT,P,score
LOC149373,0.2642339381971176,2.8797,0.00199,0.7609144718262396
PRSS33,0.2091992038728437,3.1509,0.00081373,0.6591657714829432
ADAM20,0.2892823789311909,2.0934,0.018155,0.6055837320545551
TFAP2B,0.0648895614666262,6.1094,5e-10,0.39643628682420606
MIP,0.0595651287622773,5.7796,3.7447e-09,0.3442626181944579
IL37,0.1070155221456399,2.9225,0.0017359,0.3127528634706326
SKOR1,0.0418021633779417,7.3114,1.3223e-13,0.305632337321483
SCGN,0.0833047243714655,3.5762,0.00017431,0.2979143552972349
SLC17A4,0.0482758749741574,5.8473,2.4985e-09,0.28228352373639054
LBX1,0.0897216129150113,3.0765,0.0010474,0.27602854213303224
SLN,0.0825722773776852,2.7193,0.0032708,0.22453879387313938
RNF223,0.1324853702543169,1.4198,0.077827,0.1881027286870791
NEUROG2,0.0650125973839509,2.5586,0.0052546,0.1663412316665768
KIT,0.0261846284372114,6.1094,5e-10,0.15997236897429934
CISH,0.025556107510216,5.6604,7.5495e-09,0.14465779095082665
SP5,0.0278538170756624,5.1783,1.1195e-07,0.1442354209629026
UTS2R,0.0415103764481252,3.2663,0.0005448,0.13558534259251134
EN2,0.0711597127160195,1.8377,0.033053,0.130770204058229
PAX2,0.0263583939873111,4.9604,3.5175e-07,0.13074817753465798
RSPO1,0.0387478083269789,3.2828,0.00051388,0.12720130517580633
OR6N2,0.1680153979151121,0.74915,0.22688,0.12586873534810622
BHLHE22,0.0373184091934392,3.0953,0.00098316,0.11551167197645235
C1orf127,0.0385301805909325,2.9622,0.0015272,0.11413410094646026
SLC35F6,0.0171786356767918,6.5518,2.8417e-11,0.11255098522720453
BSPH1,0.0784974516765727,1.4197,0.077851,0.11144283214523025
