symbol,specificity,ZSTAT,P
CSN2,0.0793383645800643,-2.037,0.97917
EDN2,0.0473808718186762,-0.067835,0.52704
MBD3L3,0.0448006141584064,-1.3236,0.90717
NPFFR2,0.0446720096471964,0.33728,0.36795
KRT14,0.0375265654523067,1.7551,0.039625
DBX2,0.0347020456981996,1.919,0.027492
GGTLC2,0.0258704848766198,-0.42669,0.6652
NOX3,0.0255479731013287,2.6777,0.0037066
CYP11B2,0.0251510347881691,-0.60712,0.72812
OR7E24,0.0241782119245061,1.2402,0.10745
OR52L1,0.0236940667623826,-0.5114,0.69546
ADAM20,0.0230745863916424,2.0934,0.018155
CPXCR1,0.0208329153002561,,
PRR23C,0.0201619350920097,1.508,0.065773
KRTAP21-1,0.020037987593666,0.89646,0.185
TSPO2,0.0196834542968168,5.1054,1.6502e-07
HTR1D,0.0191332135347768,3.5923,0.00016388
SCN5A,0.0183868167702047,5.1154,1.5653e-07
DRAXIN,0.0168954491888212,1.3168,0.093951
GPR88,0.0166976195951702,3.1354,0.0008582
PDYN,0.0166959668230466,1.9021,0.028581
RD3,0.0160855618746517,1.0716,0.14195
METTL7B,0.0155337737044063,3.7903,7.5237e-05
SIX3,0.015532859260356,3.1544,0.00080401
SSX1,0.0152831880392959,,
