symbol,specificity,ZSTAT,P
RNF133,0.3229367593638356,1.2641,0.1031
LCE2A,0.3228296266627952,1.1364,0.12789
PPY,0.2247688188058086,0.94607,0.17206
AVP,0.2138900976446379,0.23985,0.40522
INS,0.2033738478434825,5.6717,7.0684e-09
OXT,0.1946018643385587,3.5692,0.00017906
C10orf62,0.1483778683955505,1.7289,0.04191
KRT79,0.1368122740444441,1.8056,0.035494
DEFB132,0.1295628949630536,0.15308,0.43917
FOXB2,0.1268685316865646,0.39207,0.3475
OTP,0.1230156091968623,0.45588,0.32424
GALR2,0.10329772120559,1.17,0.12099
UCN3,0.0965156371385597,0.14043,0.44416
ODAM,0.0898664324643086,-0.13105,0.55213
SIM1,0.0856498869745533,6.1163,4.7885e-10
TH,0.076239137248879,5.7341,4.9026e-09
FEZF1,0.0727527232636463,5.7973,3.3702e-09
KRT77,0.0718864163136174,2.2442,0.012409
CPA4,0.0643681133548573,3.8349,6.2812e-05
AGTR1,0.0613734577536961,3.1432,0.0008356
TRH,0.0599576875040641,0.32379,0.37305
OR10K2,0.05564547061525,2.8855,0.0019539
HCRT,0.0519273512749317,0.22754,0.41
OR5C1,0.0513291601000852,-1.4723,0.92953
PGF,0.0510379806190425,1.0619,0.14415
