# TOTAL_GENES = 16231
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE        TYPE  MODEL  NGENES         BETA     BETA_STD           SE            P
Cluster123     COVAR     43   16231       33.214     0.043841       9.1708   0.00014692
Cluster287     COVAR     43   16231       33.263     0.054296       7.3767    3.283e-06
Cluster123     COVAR     44   16231       31.597     0.041707       9.1892   0.00029339
Cluster288     COVAR     44   16231       45.537     0.063997       8.7499   9.8969e-08
Cluster123     COVAR     45   16231       35.727     0.047158       9.1364   4.6318e-05
Cluster289     COVAR     45   16231       22.231      0.03881       6.6428   0.00041014
Cluster123     COVAR     46   16231       34.981     0.046173       9.1447   6.5648e-05
Cluster290     COVAR     46   16231       28.553     0.044755       7.5325   7.5501e-05
Cluster123     COVAR     47   16231       35.321     0.046623       9.1492    5.685e-05
Cluster291     COVAR     47   16231       27.586     0.039289       8.2526   0.00041609
Cluster123     COVAR     48   16231       34.681     0.045777       9.1304   7.3173e-05
Cluster293     COVAR     48   16231       34.177     0.054921       7.3716   1.7916e-06
Cluster123     COVAR     49   16231       34.161     0.045091       9.1385   9.3112e-05
Cluster294     COVAR     49   16231       40.769      0.05672       8.5534   9.4832e-07
Cluster123     COVAR     50   16231       35.558     0.046936       9.1218   4.8723e-05
Cluster295     COVAR     50   16231       28.332     0.049244       6.7972   1.5454e-05
Cluster123     COVAR     51   16231       34.758     0.045879       9.1371   7.1529e-05
Cluster296     COVAR     51   16231       32.151      0.04987       7.5267   9.7775e-06
Cluster123     COVAR     52   16231       36.481     0.048153       9.1065   3.1063e-05
Cluster305     COVAR     52   16231       18.468     0.046038       4.4743   1.8442e-05
Cluster123     COVAR     53   16231       36.769     0.048534       9.1094   2.7302e-05
Cluster306     COVAR     53   16231       18.531     0.039654       5.3219   0.00024957
Cluster123     COVAR     54   16231       36.735     0.048488       9.1101   2.7786e-05
Cluster307     COVAR     54   16231       19.983     0.040429       5.7515   0.00025688
Cluster123     COVAR     55   16231       36.668       0.0484       9.1112   2.8725e-05
Cluster311     COVAR     55   16231       14.492     0.043161       4.1574   0.00024603
Cluster123     COVAR     56   16231       37.231     0.049144       9.1011   2.1629e-05
Cluster328     COVAR     56   16231       24.529     0.041678       6.7764   0.00014805
Cluster123     COVAR     57   16231       37.361     0.049315        9.098   2.0218e-05
Cluster332     COVAR     57   16231       28.806     0.046267       7.4732    5.826e-05
Cluster123     COVAR     58   16231       36.579     0.048283       9.1095   2.9835e-05
Cluster359     COVAR     58   16231       27.112     0.044416       7.2447   9.1594e-05
